Original,Translate_de_1,Translate_de_2
Di quel ch’ài   fatto farai   penitenza:,"Du wirst Buße tun für das, was du getan hast.",Du wirst für deine Taten antworten.
"Prendila e falle il fatto, che•tti sai.","Schnappt sie euch und tut, was ihr wollt!","Nehmt sie und spielt, was ihr am besten könnt!"
"Sovr’ognie cosa pensa di lusinghe,",Denk an alle Schmeicheleien.,"Du hast all die Komplimente bekommen, die du bekommen hast."
"Lodando sua maniera, e sua fazone,","lobt er seine Manieren und sein Aussehen,","Seine Schönheit wurde dadurch geschätzt, daß er seine Freundlichkeit und seinen Charme lobte, und sein Erlebnis wurde erkannt."
"E che di senno passa Salamone,","und wie Salomo mit Weisheit vergeht,",und wie Salomo weise vorangeht.
Con questi motti vo’ che•lla dipinghe.,"Mit diesen Worten möchte ich, dass du sie beschreibst.","Mit diesen Worten möchte ich, dass du sie ausdrückst."
Ma guarda non s’avega che•tti’nfinghe,"Sie wusste nicht, dass du vortäuschst.","Aber sie wusste nicht, dass du simulierst."
Ché non v’andresti mai a prociessione:,"weil du nie in eine Prozession gehen würdest,",Warum würdest du dich nie der Parade anschließen?
Non ti varebe lo star ginochione.,Und du brauchst nicht auf den Knien zu sein.,"Und es würde dir nicht nützen, niederzuknien."
"Però quel lusinghar fa che tu ’l tinghe,","Aber dieses Schmeicheln sorgt dafür, dass du es drückst,","Aber dieser Lügner bringt dich dazu, ihn hoch zu schätzen."
"Chéd e’ n’è ben alcuna sì viziata,",Denn es gibt so viele verwöhnt,Denn es ist alles so korrupt
Che non crede giamai ta’ favolelle,"der nie an solche Geschichten glaubt,",der nie an solche Erzählungen glaubt
Per c’altra volta n’è stata   beffata;,weil sie einmal verspottet worden war,denn sie war einst verspottet worden.
"Ma queste giovanette damigielle,",Aber diese jungen Brautjungfern,Aber diese jungen Mädchen
"Chu’ la lor terra non n’è stata   arata,",daß ihr Land nicht gepflügt worden ist,daß ihr Land nicht bebaut worden ist
Ti crederanno ben cota’ novelle!,Sie werden dir diese Neuigkeiten gut anhängen.,Sie werden Sie mit diesen Änderungen begrüßen
"Se•ttu ài altra amica procacciata,",wenn du eine andere Freundin hast.,"Wenn du eine andere Freundin hast, die du bekommst"
"O ver che•ttu la guardi a procaciare,","Oder dass du sie ansiehst, um sie dir zu beschaffen,","oder daß du sie kaufen willst O daß du sie sie siehst, um sie zu erwerben, oder daß du sie kaufen willst."
E sì non vuo’ per ciò abandonare,und Sie wollen nicht deshalb verlassen,Hoffnung und Sie wollen nicht auf die Erwartung verzichten
"La prima, chu’ à’ lungho tenpo amata,","die erste, die lange geliebt","Die erste, die lange geliebt wurde."
"Se•ttu a la novella à’ gioia donata,",wenn du die Nachricht gespendet hast,paarig du hast das junge Paar glücklich gemacht
Sì dì ch’ella la guardi di recare,"Sag ihr, dass du sie ansiehst, um sie zurückzubringen.","die Harmonie, die du sie ansiehst, um das Gleichgewicht wiederherzustellen"
"In luogo, ove la prima ravisare","an einem Ort, an dem die erste","an einem Ort, an dem die erste Wahrnehmung"
"No•lla potesse, ché seria ’smenbrata.","Das könnte sie nicht, weil sie zerstört wäre.","Das könnte sie nicht, weil sie verwüstet wäre."
"O s’ella ancor ne fosse in sospezone,",oder wenn er immer noch verdächtig ist...,oder wenn sie noch zweifelhaft ist
"Fa saramenta ch’ella t’aggia torto,",Laß sie unrecht haben.,"Mach friedlich, daß sie Unrecht hat"
C’unque ver’ lei non fosti in mesprigione;,"Jeder, der gegen sie war nicht in Verachtung","Jeder, der ihm gegenüber nicht verachtete,"
"E s’ella il pruova, convien che sie acorto","Und wenn Sie sie beweisen, sollten Sie vorsichtig sein.","Und wenn Sie sie ausführen, sollten Sie wachsam sein."
"A dir, che forza fu, e tradigione:","zu sagen, welche Kraft war, und Verrat","zu erzählen, welche Kraft und Klugheit sie gebrauchten und Untreue."
Allor la prendi e sì•lle innaffia l’orto.,Dann nimmst du sie und sie wässert den Garten.,Dann nimm sie und gieß sie in den Garten.
"E se•ttua donna cade in malatia,",und wenn deine Frau krank wird,und wenn deine Gemahlin krank wird
"Sì pensa che•lla faccie ben servire,","stellen Sie sicher, dass Sie gut gedient haben,","dafür zu sorgen, dass Sie gut geliehen haben."
Né•ttu da•llei giamai non ti partire.,Und du wirst nie von ihr weggehen.,Und du wirst dich nie von ihr trennen.
"Dàlle vivanda, c’a piacier le sia,","von den Speisen, die sie mag","Gib ihr etwas zu essen, das sie mag."
"E po’ sì•lle dirai: “Anima mia,","Und dann wirst du zu ihr sagen: ""Meine Seele,","Du bist das Licht meines Lebens, und dann wirst du zu ihr sagen: ""Liebe Seele, du bist der Glanz meines Daseins."""
Istanotte ti tenni in mio dormire,Ich habe dich letzte Nacht in meinem Traum behalten.,Schnürsenkel Nacht in meinem Traum Ich umarmte dich stark
"Intra.lle braccia sana, al me’ disire:","in meinen gesunden Armen, auf meinen Wunsch:","In meinen gesunden Armen, in meinem Verlangen."
"Molto mi fecie Idio gran cortesia,","Gott hat mir eine große Höflichkeit erwiesen,",Gott zeigte mir eine große Freundlichkeit.
Che mi mostrò sì dolze avisione”.,Dass er mir so eine süße Vision zeigte.,Das gab mir eine so zarte Perspektive.
"Po’ dica, ch’ella l’oda, come sagio,","Dann sagen Sie, dass Sie ihm zuhören, wie ein Essay,","Dann sagen Sie, dass Sie ihm zuhören, wie ein Klugscheißer."
"Che per lei fara’ far gran prociessione,",der für sie eine große Prozession machen wird,die für sie eine große Parade machen wird
"O•ttu n’andra’ in lontan pellegrinagio,","oder daß du auf eine lange Pilgerreise gehst,","oder dass du zu Hause bleibst, unabhängig davon, ob du auf eine längere Reise fährst oder in deinem Zuhause bleibst."
Se Giesocristo le dà guerigione.,wenn Jesus Christus sie heilt.,Wenn Jesus Christus sie heilt.
"Così avrai il su’ amor, e ’l su’ coragio».",So wirst du seine Liebe und seinen Mut haben.,Auf diese Weise wirst du seine Zuneigung und seine Freimut erlangen.
"Quand’ebi inteso Amico, che leale","Als ich verstanden hatte Freund, der treu","Es war mir gewesen, als ich zuhörte Freund, der mir loyal war"
"Consiglio mi dava, a su’ podere,","Er gab mir Rat, nach seiner Macht","Er gab mir Ratschläge, so gut er konnte."
"I’ sì•lli dissi: «Amico, il mi’ volere","Ich sagte zu ihm: Freund, mein Wille","Das ist dein Gesetz Ich habe ihm gesagt: Genosse, mein Wunsch ist deine Regel."
"Non fu unquanche d’esser disleale,",Es sollte nie unfair sein.,Er sollte nie untreu sein.
"Né piaccia a Dio, ch’i’ sia condotto a tale,","Gott mag es nicht, daß ich zu einem solchen geführt werde.",Endlich werde ich nie zu diesem Zweck verleitet.
"Ch’i’ a le gienti mostri benvolere,",daß ich den Menschen Freundlichkeit zeige,daß ich Höflichkeit gegenüber den Menschen manifestiere
"E servali del corpo, e dell’avere,",und Diener des Leibes und des Habens,und Diener des Leibes und des Besitzes
Ched i’ pensase poi di far lor male.,"Und dann hätte ich gedacht, ich würde ihnen wehtun.","Später dachte ich daran, ihm Schaden zuzufügen."
Ma sòffera ch’i’ avante disfidi,Aber lassen Sie mich zuerst herausfordern,Lassen Sie mich zuerst herausfordern.
"E Mala-Bocca, e tutta sua masnada,","Malabocia und ihre ganze Bande,",Und sie verließen Malabocia und ihre Gefährten und verschwanden.
"Sì che neuno in me giamai si fidi,",daß niemand an mir trauen wird,Dass niemand in mir jemals auf mich vertraut
Po’ penserò di metterli a la spada».,Und ich will sie ans Schwert legen.,Dann werde ich sie mit dem Schwert herausfordern.
"Que’ mi rispuose: «Amico, mal ti guidi:","Sie sagte: ""Freund, aber du irrst dich.","Er sagte: ""Kompate, aber du irrst dich."
Cotesta sì nonn-è la dritta strada.,Das ist nicht der richtige Weg.,Das ist nicht der richtige Weg.
"A te sì non convien far disfidaglia,","Dir ist es nicht recht, diese Herausforderung zu meistern.","Dir ist es nicht ratsam, mit dieser Prüfung konfrontiert zu werden"
Se•ttu vuo’ ben civir di questa guerra.,Wenn du diesen Krieg gut beenden willst.,Wenn du diese Streitfrage zu Recht abschließen möchtest.
"Lasciala far a’ gran’ signior’ di terra,",Laß sie den großen Herrschern der Erde tun.,Lassen Sie es die höchsten Herrscher der Erde tun
Che posson soferir oste e battaglia.,die sich die Armee und die Schlachten leisten können!,Dass sie den Luxus der Armee und des Fechtens geben!
"Mala-Bocca, che così ti travaglia,","Malabocia, die dich so quält,","Es ist etwas, das nicht hart dauertVerdammt, das dich so bedrängt, es ist eine Situation, die nicht besteht."
È traditor: chi ’l tradiscie non erra.,"Er ist ein Verräter; wer ihn verrät, der irrt sich nicht.","Er ist ein Ungläubiger: Wer ihn verdirbt, macht keinen Fehler."
"Chi con falsi senbianti no•ll’aferra,","Wer ihn nicht mit falschen Scheinen fängt,","Erobert ihn mit guten Taten, verführt ihn nicht mit Täuschung, besiegt ihn mit guten Taten"
Il su’ buon giocho mette a ripentaglia.,Er riskiert sein gutes Spiel.,Er gefährdet seinen Erfolg.
"Se•ttu lo sfidi, o batti, e’ griderà,","Wenn Sie ihn herausfordern oder schlagen, wird er schreien,","Wenn Sie ihn herausfordern oder angreifen, wird er schreien."
Chéd egli è di natura di mastino:,Denn er ist mastiner Natur.,Denn er ist ein Hund.
"Chi più ’l minaccia, più gli abaierà.","Wer ihn bedroht, der wird ihn bellen.","Je mehr er ihm droht, desto mehr brüllt er gegen ihn."
"Chi Mala-Bocca vuol metter al chino,","Jeder, der Malabocia erobern will","Er steht vor einer großen Herausforderung, die jedem, der sich für den Sieg von Malabocia einsetzt, eine enorme Herausforderung stellt."
"Sed egli è sagio, egli•lusingherà:","Er wird ihn schmeicheln, wenn er weise ist,","Er wird ihn erziehen, wenn er klug ist."
Ché cierto sie quell’è ’l dritto camino».,"Ich bin sicher, das ist der richtige Weg.",Das ist der richtige Weg.
"«Po’ mi convien ovrar di tradigione,","""Dann bemühe ich mich, Tradition zu üben,","Wenn ich will, dass die Sache erledigt wird, dann ist es notwendig, nach dem Brauch zu verfahren, wenn ich will, dass die Aufgabe erledigt wird."
"E a•tte pare, Amico, ch’i’ la faccia,","Und für dich sieht es so aus, als würde ich es tun.","Sieht das aus, Genosse, dass ich meine Pflicht erfülle?"
"I’ la farò,   come ch’ella mi spiaccia,","Ich werde es tun, als ob ich es nicht mag.","Das werde ich, trotz meiner Abneigung."
Per venir al di su di quel cagnione.,Um über diesen Hund zu kommen,Um über diesen Hund zu herrschen
"Ma sì•tti priego, gientil conpagnione,","Aber bitte, netter Genosse...","Ich flehe dich an, mein Freund, daß du wiederkommst."
"Se•ssai alcuna via, che•ssia più avaccia,","wenn es einen Weg gibt, der schneller ist",Wenn es einen schnelleren Pfad gibt
"Per Malabocca e suo’ metter in caccia,",um Malabocia und ihre zu jagen,Anhänger Espeller Malabocia und ihre Gefolgsleute
"E trar Bellacoglienza di pregione,",Und Begrüßung des Gefängnisses freigeben,Emanzipation Schöne Begrüßung von Haft
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,","Du bringst es mir bei, und ich gehe hin.","Du sollst es mir zeigen, und ich werde es tun."
"E menerò   comeco tal aiuto,",und ich bringe eine solche anfängliche Hilfe,und ich werde eine solche anfängliche Unterstützung zur Verfügung stellen
Ched i’ quella forteza abatterò».,Denn diese Festung trinke ich.,Denn diese Festung wird zusammenbrechen.
"«E’ nonn-à guari ch’i’ ne son venuto»,","""Es ist nicht lange her, dass ich von dort gekommen bin.""",Ich bin nicht mehr lange von diesem Ort gekommen.
"Rispuose Amico, «ma ’l ver ti dirò,","Der Freund antwortete, aber ich will dir die Wahrheit sagen,","Er antwortete seinem Freund, aber ich werde dir die Realität zum Ausdruck bringen."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","Dass ich es bereue, wenn ich hinging.","dass, wenn ich reiste, ich bereue"
"S’uom apella il camin Troppo-Donare,",Wenn ein Mann den Kamin ruft zu viel-Spenden,Wenn ein Mann nennt die Herd großzügig-Geschenk.
"E’ fu fondato per Folle-Largheza,",wurde für Wahnsinn-Largheza gebaut,Er wurde aus Ungerechtigkeit erbaut.
"L’entrata guarda madonna Richeza,",die antrauliche schaut Madonna Reichtum,Der Eingang schaut auf Mrs. Überfluss.
"Che non i lascia nessun huon passare,",Er lässt keinen Mann durch.,Dass er niemanden überqueren lässt.
"S’e’ nonn-è su’ parente, o su’ conpare,","Wenn er nicht mit ihm verwandt ist, oder sein Kumpel",", ist es nicht willkommen, wenn es nicht sein Nächster oder sein Partner ist, wird es nicht begrüßt."
"Già tanto nonn-avrebe in sé belleza,","Egal, wie schön sie sein kann,","Es ist kein ausreichender Grund, egal, wie attraktiv es auch sein mag, es ist keine angemessene Motivation."
"Cortesia, né saver, né gientileza,","Höflichkeit, weder Wissen noch Freundlichkeit","Zivilisation, weder wissen noch liebenswert"
Ched ella gli degniasse pur parlare.,dass sie ihm nur würdig war zu sprechen,"dass sie ihm zustimmte, nur zu reden"
"Se puo’ per quel camin trovar   passagio,",Wenn dieser Weg einen Weg finden kann,"Wenn Sie diesen Weg finden können, finden Sie einen Weg"
"Tu•ssì abattera’ tosto il castello,",Du wirst bald das Schloss niederreißen.,Du wirst das Schloss schnell abreißen.
"Bellacoglienza trarà’ di servagio,",Schöne Begrüßung wird aus der Dienerschaft,Befreiung aus der Sklaverei
"Non vi varrà gittar   di manganello,","Es wird Ihnen nicht nützlich sein, Mangeln zu werfen","Es wird nicht hilfreich sein, Stöcke zu schleudern."
"Néd a le guardie lor folle musagio,",Weder ihre Wärter verrückt Spaß,Weder ihren Wächtern noch ihren wilden Freuden
"Porte, né mura, né trar   di quadrello.","Türen, Mauern und Markisen","Türen, Mauern und Türhebel"
"Or sì•tt’ò detto tutta la sentenza,",Jetzt wird das ganze Urteil gesprochen.,Jetzt ist das ganze Urteil ergangen.
Di ciò che•ssagio Amante far   dovria.,"über das, was ein weiser Liebhaber tun sollte:","über das, was ein weiser Liebhaber tun sollte"
"Così l’amor di lor guadagnieria,",so wird die Liebe sie gewinnen,"ein großes Glück in der Folge, die Zuneigung wird ihnen eine große Freude bringen"
"Sanz’aver mai tra•llor malivoglienza,",Ohne Freunde zu haben,Ohne eine Freundschaft.
"Se mai trai di pregion Bellacoglienza,","Wenn du Bell Begrüßung aus dem Gefängnis bekommst,","Er wird sehr glücklich sein, wenn du Bell willkommen aus dem Gefängnis bringst, wird er sehr glücklich sein."
"Sì fa che•ttu ne tenghi questa via,","Mach, dass du diesen Weg bewahrst.",Diesem Kurs folgen
"Od altri menti mai non t’ameria,",Sonst würde er dich nie lieben.,"Wenn nicht, würde es ihm niemals Zuneigung erregen."
Che ch’ella ti mostrasse in aparenza.,Dass er dich offenbarte,Dass er dich äußerlich bewies
"E dàlle spazio di poter andare,","Und ihr die Freiheit geben, zu gehen.","Geben Sie ihr die Fähigkeit, sich zu bewegen."
"Colà, dove le piacie, per la villa;","überall, wo sie in der Stadt steht;","überall, wo man sie in der Stadt liebt."
Pena perduta seria   in le’ guardare:,die Mühe des Anblicks würde verlieren,die Strafe zu beobachten würde zerstreuen
Ché•ttu teresti più tosto un’anguilla,Warum würdest du einen Aal enger halten?,Warum hältst du einen Aal fest?
"Ben viva per la coda, e fossi in mare,","lebendig für den Schwanz, auch wenn ihr auf See wart,","willkommen für die Flottille, auch wenn Sie im Ozean waren."
"Che non faresti femina, che ghilla».","Was würde eine Frau nicht tun, Dummkopf?","Was eine Frau nicht tun würde, verrückt."
"Così mi confortò il buon Amico,",So tröstete mich der gute Freund,Auf diese Weise ermunterte mich mein lieber Freund.
"Po’•ssi partì da me, sanza più dire.",Dann ging er ohne ein anderes Wort.,Später ging er ohne weitere Bemerkungen zurück.
"Allor mi comincià’ fort’ a giechire,","Dann fing ich an, sehr demütig zu sein.",Dann wurde ich sehr gedemütigt.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","nach Malabocia, meinem grausamen Feind.","Nach Malabocia, meinem skrupellosen Gegner."
"Lo Schifo i’ sì pregiava   men ch’un fico,",Der Widerstand war mir egal.,Der Widerstand war mir egal.
Ch’egli avea gran talento di dormire;,dass er einen großen Wunsch zu schlafen hatte;,Er hatte ein starkes Verlangen nach Ruhe.
Vergognia si volea ben sofferire,Bescheidenheit wollte sich wirklich enthalten,Demut wollte aufrichtig aufgeben
"Di gueregiarmi, per cierto vi dico,","Dafür, dass ich gekämpft habe, sage ich es dir.","Dafür, dass ich dich herausgefordert habe, versichere ich dir."
"Ma’ e’ v’era Paura, la dottosa,","Aber es gab Angst, Furcht,","Sorge Es gab Angst, Furcht, Angst."
"C’udendomi parlar tutta tremava,","als er zuhörte, daß er überall zitterte:","daß, um mir zuzuhören zu reden, er in seinem ganzen Wesen zitterte."
"Quella nonn-era punto dormigliosa,",daß jemand überhaupt nicht schläfrig war;,Dass man völlig wach war.
"In ben guardar il Fior molto pensava,","Sie hat sich sehr um die Blume gekümmert,",Bei der Erhaltung der Blume wurde viel Aufmerksamkeit gewidmet.
"Vie più che•ll’altre guardi’ era curiosa,","Und sie war neugieriger als die anderen Wachen,",Und sie war inquisitiver als die anderen Wachen.
Perciò che ben in lor non si fidava.,Seit er ihnen nicht vertraut hat.,Seit er nicht auf sie vertraute.
"Intorno dal castello andai ciercando,",Alles um das Schloss ging ich suchen,Um das Schloss herum habe ich nach etwas gesucht.
"Sed i’ potesse trovar quel’entrata,",Wenn ich diesen Eingang finden könnte...,Wenn ich diese Eingangstür finden könnte...
"La qual Folle-Largheza avea fondata,",die Forte-Largheza gegründet hatte,Die Macht-Vastizität gegründet hatte.
"Per avacciar ciò, che giva pensando.","Um das zu beschleunigen, was ich dachte.","Beschleunigen Sie, was ich dachte."
"Allor guardai, e sì vidi onbreando",Und ich sah zu und sah im Schatten.,Dann schaute ich in der Dunkelheit nach und ging in die Vergangenheit.
"Di sotto un pin una donna pregiata,","unter einer Kiefer, eine würdige Frau,","neben einer Tanne, eine würdige Frau."
"Sì nobil mente vestita e parata,",so edel angezogen und geschmückt,So wunderschön angezogen und dekoriert.
Che tutto ’l mondo gìa di lei parlando.,Die ganze Welt hat von ihr gesprochen.,daß die ganze Erde davon redete.
"E sì avea in sé tanta beleza,",und hatte in sich so viel Schönheit,und hatte eine große Pracht
Che tutto intorno lei aluminava,der alles um sie herum erleuchtet hat,der alles um sie herum riskierte
"Chol su’ visagio, tanto avea chiareza.","mit seinem Gesicht, so viel Klarheit hatte;",Mit seinem Gesicht hatte er viel Helligkeit.
Ed un suo amico co•llei si posava.,"Und ein Freund von ihr, der mit ihr zusammen war.","und ein Begleiter, der mit ihr war"
"La donna si avea nome Richeza,",Die Frau hieß Richeza.,Die Dame hatte den Namen Richeza.
Ma•llui non so com’altri l’apellava.,"Aber ich weiß nicht, wie er sonst hieß.","Doch er wusste nicht, wie er sich sonst nannte."
"Col capo inchino la donna salutai,","Ich grüßte die Frau mit niedrigem Kopf,",Ich grüßte die Dame mit dem Anführer.
E sì•lla cominciai   a domandare,"Und ich fing an, sie zu fragen.","Ich fing an, sie zu befragen."
"Del camin, c’uomo apella Tropo-Dare.","auf dem Weg, der Tropo-Dare genannt wird.","der Route, die Tropo-Dare genannt wird."
Quella rispose: «Già per me no ’l sai,Sie antwortete: Du wirst es nicht von mir erfahren;,Sie antwortete: Du wirst es nicht von mir lernen.
"E, se ’l sapessi, già non vi ’nterrai,","Und wenn du es wüsstest, würdest du nie reingehen,","Und wenn du ihn kennen würdest, würdest du nie die Schwelle überschreiten."
Chéd i’ difendo a ciaschedun l’entrare,"weil ich allen den Eintritt verbiete,",Denn ich verbiete jedem den Zugang.
Sed e’ nonn-à che spender e che dare.,Aber Sie müssen ausgeben und geben.,Wir müssen loslassen und austeilen.
"Sì farai   gran saver, se•tte ne vai:","Also, wenn du klug bist, dann gehst du.","Also, wenn du klug bist, dann geh."
"C’unquanche non volesti mi’ acontanza,",Wenn du nie meine Gesellschaft willst,Wenn du mich nie begehren würdest.
Né mi pregiasti mai  a la tua vita.,Und du hast mich nie in deinem Leben gelobt.,Du hast mich nie in deiner Existenz gelobt.
"Ma or ne prenderò buona vengianza,",Aber jetzt kriege ich meine süße Rache.,Jetzt bekomme ich meine süße Revanche.
"Ché, sie ciertano, se•ttu m’ài   schernita,","auf daß ihr sicher seid, ob ihr mich verachtet habt,","Ich will ihn nicht erwidern, daß ihr sicher seid, wenn du mich verachtet hast, ich will ihn nicht bezahlen."
"I’ ti darò tormento e malenanza,","Ich werde dich quälen und unglücklich machen,",Ich will dir Kummer und Traurigkeit geben.
Sì ch’e’ me’ ti varia avermi servita».,"Dass es besser für euch wäre, wenn ihr mir gedient hättet.","dass es für Sie vorteilhafter wäre, mich unterstützt zu haben"
"«Per Dio, gientil madonna, e per merzede»,","Um Gottes willen, liebe Frau, und um der Barmherzigkeit willen,","Für den Herrn, gnädige Dame, und aus Mitgefühl."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Ich habe ihr gesagt, wenn ich dir wehgetan habe,","Es tut mir leid, dass ich Ihnen später gesagt habe, wenn ich Sie beleidigt habe, tut es mir leid."
Ched e’ vi piaccia ched e’ sia amendato,"Was du magst, was richtig ist","Was du magst, ob es richtig ist."
"Per me, chéd i’ ’l farò a buona fede:","Für mich, denn ich werde es in gutem Glauben tun.","Für mich, denn ich werde es in aller Aufrichtigkeit tun."
"Ch’i’ son ciertan, che ’l vostro cuor non crede","Denn ich bin sicher, dass Ihr Herz nicht glaubt","Weil ich sicher bin, dass Ihr Herz nicht akzeptiert"
"Com’io dentro dal mio ne son crucciato,",wie ich in meinem Innern betrübt bin;,"Als innerlich in meinem Wesen, fühle ich mich bekümmert."
"Ma quando vo’ m’avrete ben provato,",Aber wenn du mich auf die Probe stellst,?Wann wirst du mich der Prüfung unterziehen?
"E’ sarà cierto di ciò, c’or non vede.","Und es wird sicher sein, dass, die jetzt nicht sehen","Sie werden absolut sicher sein, was im Moment nicht sichtbar ist."
"Per ch’i’ vi priego, che mi diate il passo,","Deswegen bitte ich dich, lass mich durch.","Ich flehe dich an, dass du mich mitnehmen darfst."
Ched i’ potesse abatter il castello,Damit ich das Schloss abreißen kann.,Auf diese Weise kann ich das Schloss abreißen.
"Di Gielosia, che m’à sì messo al basso».","Ich bin eifersüchtig, der mich abgesetzt hat.","Neid, der mich niedergeschlagen hat."
Quella mi disse: «Tu•ssè mio ribello:,"Er sagte zu mir: ""Du bist mein Feind;","Er sagte zu mir: ""Du bist mein Widersacher;"
"Per altra via andrai, ché sarà’ lasso",auf einem anderen Pfad wirst du gehen; denn du wirst erschöpft sein.,auf einem anderen Wege wirst du gehen; denn du wirst erschöpft sein.
Inanzi che n’abatti un sol crinello».,vor dem Erschlagen eines einzigen Amsels des Turms,Vor dem Zerreißen eines einzigen Steins des Turms
"Già no•mi valse nessuna preghera,",Ich habe kein Gebet gesprochen.,Ich habe nicht gebetet.
"Ched i’ verso Richeza far potesse,",Ich hätte nach Richeza gehen können.,"Ich schuldete ihm, dass ich Richeza opfern könnte, da ich ihr schuldete."
"Ché poco parve ch’e’ le ne calesse,","denn es schien ihr egal zu sein,","Und sie entschloß sich, zu gehen; denn es schien ihr gleichgültig zu sein; und sie entschloß sich, zu gehen."
Sì•lla trovai ver’ me crudel e fera.,Ich fand sie so grausam zu mir.,Ich fand sie so böse auf mich.
"Lo Dio D’Amor, che guar’ lungi non m’era,","Der Gott der Liebe, der nicht weit von mir war,","Er gab mir eine große ErleichterungDer Göttliche des Leidens, der nicht weit von mir war, schenkte mir einen tiefen Trost."
"Mi riguardò com’io mi contenesse,","Er sah, wie es mir ging.","Er untersuchte, wie es mir ging."
E parvemi ched e’ gli ne incresciesse;,"Und ich dachte, er würde ihn belästigen.","Und ich dachte, es störte ihn."
"Si venne a me e disse: «In che manera,","Er kam zu mir und sagte zu mir: ""Wie,","Kann ich dir helfen?"" Er kam zu mir und fragte mich: ""Wie kann ich helfen?"""
"Amico, m’ài guardato l’omanagio,","Alter, du hast deinen Eid gehalten.","Alter, du hast dein Versprechen gehalten."
"Che mi faciesti, passat’à un anno?».",Hast du vor einem Jahr mit mir geschlafen?,Was hast du mir vor einem Jahr angetan?
"I’ gli dissi: «Messer, vo’ avete il gagio","Ich sagte zu ihm: ""Herr, du hast mein Versprechen,","""Mein Herr, du hast mein Wort, ich werde es behüten."""
"Or, ch’è il core». «E’ non ti fia già danno,","Jetzt, da es mein Herz ist, wird es dir keinen Schaden anrichten.","Jetzt, wo er in meinem Herzen ist, wird er dir keinen Schaden zufügen."
Ché tu•tti sè portato come sagio:,"denn du hast dich weise benommen,","Du wurdest belohnt, da du vorsichtig gehandelt hast, wurdest du belohnt."
Sì avrai guiderdon del grande afanno».,Du wirst für deine große Angst belohnt werden.,Du wirst für dein großes Leiden belohnt werden.
Lo Dio d’Amor per tutto ’l regnio manda,Im ganzen Königreich sendet der Gott der Liebe,seine GabenIm ganzen Königreich sendet das Oberste Wesen des Wirkens seine Wohltaten.
Messagi e lettere a la Baronia:,Boten und Briefe an alle Baronen;,Senden Sie Boten und Briefe an alle Baronen.
"Che davanti da lui ciaschedun sia,",Wer auch immer vor ihm steht,"Jeder, der vor ihm steht"
"Ad alcun priega, e ad alcun comanda;",Einige fragen und einige bestellen,"Manche Leute fragen sich, und andere verlangen, dass"
"E ch’e’ vorrà far lor una domanda,","Er wird ihnen eine Frage stellen,",Er wird ihnen eine Frage stellen wollen.
"La qual fornita converrà che•ssia,","Es wird erwartet, daß die","Das ist es, was notwendig sein wird, um es zu sein."
"D’abatter il castel di Gielosia,","Um das Schloss von Gielosia zu zerstören,",Zerstörung des Schlosses von Gielosia
Sì ch’e’ non vi dimori inn-uscio banda.,"damit es keine böse Bande mehr gibt, die euch beherbergt.","damit es keine böse Truppe mehr gibt, die dort wohnt."
"Al giorno ciaschedun si presentò,","Am großen Tag traten alle auf,",Bei dem großen Ereignis wurden alle materialisiert.
Presto di far il su’ comandamento;,"bereit, seinen Befehl auszuführen;","bereit, Ihrer Bestellung zu gehorchen."
Dell’armadure ciaschedun pensò,Jeder hat über seine Arme nachgedacht.,Jeder hat über die Glieder gesinnt.
Per dar a Gielosia   pene e tormento.,um Eifersucht zu quälen und Eifersucht zu geben.,Um Eifersucht Leiden und Neid zuzufügen.
"La Baronia   i’ sì vi nomerò,","Die Baronie, die ich im Sinn habe,","Es ist ein großes AnwesenLa Baronia, das mich untergräbt, ist ein riesiges Anwesen."
Secondo ched i’ ò   rimenbramento.,"Ich ernenne dich nach dem, was ich im Gedächtnis habe.","Ich entwerfe dich nach dem, was ich mir eingeprägt habe."
"Madonna Oziosa venne la primiera,","Madonna Oziosa kam zuerst,",Auf der Suche nach einem Traum kam Mrs. Pigra zuerst und suchte nach einer Sehnsucht.
"Con Nobiltà-di-Chuor, e con Richezza,","mit Adel-von-Chuor und Richezza,","und mit Pracht mit Herrlichkeit, und mit Fülle, und mit Helligkeit."
"Franchigia, Cortesia, Pietà, Largheza,","Barmherzigkeit, Höflichkeit, Barmherzigkeit, Großzügigkeit,","WohlwollenFreundschaft, Freundlichkeit und Wohlwollen Behandlung sind die Grundprinzipien, die unsere Interaktion regeln. Großzügigkeit, Barmherzigkeit, Höflichkeit und Wohlwollen sind die Schlüsselwörter, um unsere gegenseitige Beziehung zu beschreiben."
"Ardimento, e Honor: ciaschedun v’era.","Kühnheit und Ehre, wer auch immer da war",Kühnheit und Würde waren in allen vorhanden.
"Diletto et Conpagnia seguian la schiera,","Geliebte und Gefährtin folgten der Schar,",Zufriedenheit und Gesellschaft begleiteten die Prozession.
"Angielicanza, Sicurtà, et Leteza,","Angielicanz, Sicherheit, und Letizia,","Angst, Schutz und Freude."
"E Solazo, e Bieltate, e Giovaneza",und Freude und Schönheit und Jugend,"Freude, Pracht und Jugend"
Andavan tutte inpresso la bandera.,Sie waren alle unter der Flagge.,Sie gingen unter dem Banner zusammen.
