Original,Translate_en_1,Translate_en_2
"E se Venùs ancor la vicitasse,","And if Venus comes back to see her,","She'd be happy if Venus reappeared, she'd be ecstatic."
"Di ciò era ciertana, e non dottosa,",of this I was certain and had no doubt,"I was sure of that, and he had no doubt about it."
Ch’e’ converebe ch’ella il Fior donasse.,because it would be better for the flower to give her,because it would be appropriate for you to offer the bud
"Gelosia fecie fondar un castello,",Jealousy had built a castle,Envy had built a fortress
"Con gran fossi d’intorno e barbacani,","with great ditches and fortifications all around,",with deep trenches and fortifications in all directions.
"Ché molto ridottava huomini strani,",because he feared very strange men,because he was afraid of strangers
Sì faciev’ella que’ di su’ ostello;,They were here in his hostel,They were staying here at his quarters.
"E nel miluogo un cassero fort’ e bello,",and in the place a craftsman so strong and beautiful,and in the place a craftsman so skilled and elegant
"Che non dottava asalto di villani,",who did not fear the assault of peasants,who was not afraid of evil.
Fecie murare a’ mastri più sovrani,made majestic walls and towers,built walls and majestic ramparts
Di marmo lavorato ad ischarpello;,Finely chiseled marble,Carefully carved marble
"E sì vi fecie far quatro portali,",Then he had four portals done.,"Later, he had four arches built."
"Con gran tori di sopra inberteschate,",with large towers above crenellated,With high towers equipped with battlements
Ch’unque nel mondo non fur fatte tali;,Everyone in the world had never seen.,No one around the globe had ever had experience of.
"E porte caditoie v’avea ordinate,",He ordered mobile gates.,He commissioned mobile gates.
Che venian per condotto di canali.,which were to be conducted by channels,that came through the channels
L’altr’eran tutte di ferro spranghate.,The other doors were all wired.,The other doors were all locked in steel.
"Quando Gielosia vide il chastel fatto,","When jealousy saw the castle made,","He was speechlessWhen jealousy glimpsed the built castle, he remained open-mouthed."
"Sì si pensò d’avervi guernimento,","you think you're supplying it with weapons,",Consider supplying them with weapons.
Ch[ed] e’ non era suo intendimento,that it was not his intention,that wasn't his project
Di renderlo per forza néd a patto.,to leave it by force or by a covenant,to remove it vigorously or through an agreement
"Per dare   a’ suo’ nemici mal atracto,",to give his enemies a bad reception,To greet his adversaries with hostility
"Vi mise dentro gran saettamento,","He put in a lot of weapons,",Introduced a large number of weapons.
"E pecie, e olio, e ogni’ altro argomento","And tar, and oil, and all that.","and bitumen, ointment and all the rest"
Per arder chastel di legniame o ghatto,to light the wooden castle,Light the wooden castle = illuminate the wooden manor
S’alcun lo vi volesse aprossimare:,If anyone wants to get closer,if anyone would like to approach
Ché perduti ne son molti chastelli,For many castles have been lost,For many castles have been vanished
Per non prendersi guardia del cavare.,so as not to take the guards of the quarry,so that you don't take bodyguards
"Ancor fe’ far   trabochi, e manghanelli",He still made snares and catapults,still set ambushes and pitfalls
"Per li nemici lungi far   istare,",to keep enemies away,to keep enemies at a distance
E servirli di pietre e di quadrelli.,and serve them with stones and darts.,serve them with darts and targets.
Quand’el’ebe il castel di guernigione,As soon as he had the war castle,As soon as he got the war castle
"Fornito, sì com’e’ gli era mestiere,","provided as was by profession,",provided as was his duty.
"Ad ognie porta mise su’ portiere,",He put sentries on every door:,He deployed guards at every entrance.
De’ più fidati c’avea in sua magione.,These were his family's most trusted.,These were the most reliable of his family.
"E perch’ella dottava tradigione,","And because he feared treachery,","He was always very suspicious, given that he feared disloyalty, he was perennially suspicious."
"Mise lo Schifo in sul portal primiere,","He put the Resistance at the front door,",He placed the Contradiction at the main entrance.
Perch’ella il sentia aspro cavaliere;,because he knew he was a determined knight.,because he knew he was a determined knight.
"Al secondo la figlia di Ragione,",On the second the daughter of reason,"On the second, the offspring of wisdom"
"Ciò fu Vergognia, che fe’ gran difensa;",This was shame - which provided great defense;,This was a cause for great embarrassment that provided solid protection.
"La terza porta si guardò Paura,","the third door was guarded by fear,",The third door was guarded by anxiety.
Ch’iera una donna di gran provedenza;,a woman famous for her cunning;,A woman celebrated for her sagacity.
"Al quarto portal, dietro da le mura,","And at the fourth gate behind the walls,","There was a vineyard at the fourth entrance, beyond the ramparts, there was a vineyard."
"Fu messo Mala-Bocha, la chu’ intenza",Malabocia was placed whose purpose,was to instruct Place Malabocia whose intent was to educate.
Ferm’iera a dir mal d’ognie criatura.,was to say evil things to every creature,was to say bad words to every being
Bellacoglienza fu nella forteza,Beautiful reception was in the fortress,Cordiality had in the fortification.
Per man di Gielosia mess’ e fermata.,By the hand of Jealousy she was imprisoned,By the work of Jealousy she was locked up
"Ad una Vechia l’ebe acomandata,",assignment an old woman,assign an elderly lady
"Che•lla tenesse tuttor in distreza,",to keep it under lock and key.,Keep it still safe.
"Ch’ella dottava molto su’ belleza,","who feared her beauty very much,",that she was greatly concerned about her attractiveness.
"Che Chastità à tuttor gueregiata,","that chastity has always defended,",that purity has always protected.
"E Cortesia, di chu’ era nata,","and Courtesy, from which she was born,","Courtesy, from which she was born,"
No•lle faciesse far del Fior largheza.,He wouldn't let her get the Flower.,He wouldn't let her donate the Flower.
Ver è ched ella sì ’l fecie piantare,And so it's true that he planted it.,And so it is undeniable that it caused him to cease.
"Là ’ve Bellacoglienza era ’n pregione,","where Beautiful welcome was imprisoned,",In the place where Bell was recluse.
Ch’altrove no ’l sapea dove fidare.,that elsewhere didn't know where to trust,who elsewhere didn't know who to rely on
"Lassù non dottav’ella tradigione,","Up there he feared no treachery,",Up there he didn't worry about any infidelity.
"Ché quella Vechia, a chu’ ’l diede a guardare,","For the old woman, to whom he looked,","For the old woman, to whom he was entrusted to guard,"
S’iera del ligniagio Salvagnione.,He was a descendant of Salvagnone.,He was a descendant of Salvagnone.
"Gelosia andava a proveder le porte,",Jealousy has gone to check the doors,Jealousy has gone to search the doors
Sì trovava le guardie ben intese,and found the guards ready,and found the sentries prepared
"Contra ciascuno star a le difese,","to avoid all attacks,","a protection system was needed to avoid all assaults, a defence system was indispensable"
"E per donar, e per riciever morte.","and to give, and to receive death","and to offer, and to receive death"
E Malabocca si sforzava forte,Mouth bad was trying very hard,Evil hump was trying hard.
In ognie mi’ sacreto far palese:,to make me reveal all my secrets:,to make me unveil every secret of mine
"Que’ fu ’l nemico, che più mi v’afese,","This was the enemy, the more annoying I was.","This was the adversary, who made me worse."
Ma sopra lui ricador poi le sorte,But the lot fell upon him.,But fate was upon him.
"Que’ non finava, né notte né giorno,","All day and night, he went on.","All the time, day and night, rain persisted."
"A suon di corno   gridar: «Guarda, guarda!».","He cried out, ""Look, look!","He shouted loudly: Be careful, be careful!"
E giva per le mura tutto ’ntorno,"And circled around the walls,",And he wandered around the ramparts.
"Diciendo: «Tal è putta, e tal si farda,","Saying, ""That's a whore, and she's filthy,","dirty and evil""That is a harlot, and she is filthy, unclean, and evil."
E la cotal à troppo chaldo il forno.,"that the other one has a very hot oven,",that the other one has a very fervent stove.
E l’altra follemente altrui riguarda».,And the other one looks madly at the others,and the other frantically looks at the others
"Quand’i’ vidi i marosi sì ’nforzare,",When the Seas Reinforce,When the Seas Intensify
"Per lo vento a Provenza, che ventava,","because of the wind that was blowing from Provence,","The sky was covered Because of the wind blowing from Provence, the firmament was veiled."
"C’alberi, e vele, e ancole fiachava,","breaking trees, sails, and anchors,","breaking trees, sails and anchors"
"E nulla mi valea il ben governare,",and to no avail was my good ruler,and to nothing was worth my fine rulership
Fra me medesimo comincia’ a pensare,I began to think among myself,I began to reflect among myself
"Ch’era follia se più navicava,","that it was madness to follow my course,",that it was foolish to follow my path.
"Se quel maltenpo prima non passava,",if the weather didn't pass before,If the bad weather didn't fade before
"Che dal buon porto   mi faciea lungiare,",who kept me away from the good harbor.,that kept me away from the safe landing place.
"Sì ch’i’ allor m’ancolai a una piagia,","So, I anchored on a beach,","In this way, I anchored myself on a shore."
Vegiendo ch’i’ non potea entrar   in porto.,seeing that I could not enter the port;,Being impossible to penetrate the port;
La terra mi parea molto salvaggia.,the earth seemed very wild to me,the land seemed very untouched to me.
I’ vi vernai co•molto di sconforto.,There I spent the winter in great despair,There I spent the winter in great affliction.
Non sa che mal si sia chi non asaggia,You don't know what bad it is until you taste it.,You don't know the harm until you try.
"Di quel d’Amor, ond’i’ fu’ quasi morto.",of that Love where I was almost dead,of that Passion for which I was almost destroyed
"Pianto, sospiri, pensieri e afrizione","Crying, Sighs, Thoughts, and Griefs","Tears, moans, meditations and afflictions"
"Eb’i’ vernando in quel salvagio loco,",I spent the winter in that wild place,I spent the winter in that pristine place.
"Ché pena de Ninferno è riso e gioco,",because the pain of Hell is rice and play,for the Eternity because the torment of Hell is fun and joy for immortality
"Ver’ quella, ch’i’ soffersi a la stagione,",compared to what I suffered that season,It was a blessing compared to what I suffered that season was a grace.
C’Amor mi mise a tal distruzione,when Love put me to such destruction,when Love brought me to such ruin
Ch’e’ no•mi die’ sogiorno asa’ né poco:,"And gave me no respite, neither small nor great;","And he gave me no mercy, neither minimum nor maximum."
"Un’or mi tenne in ghiaccio, un’altra ’n foco.","a moment like ice, another one on fire:","One cold moment, the other fiery moment."
"Molto m’attene ben sua promessione,",very attentive to his promise,very diligent in fulfilling his promise
"Ma non di gioia, né di nodrimento.","but not of joy, nor of nourishment","but not of joy, nor of sustenance"
Ch’e’ di speranza mi dovea nodrire,that of hope should feed me,who trusted me to feed me
Insin ched e’ mi desse giugiamento.,At least until he gave a verdict.,At least until he delivers judgment.
"Digiunar me ne fecie, a ver vo dire,","I made myself fast, I wanted to tell you","He forced me to make a fast, I wanted to tell you"
"Ma davami gran peze di tormento,","He gave me large portions of torment,",It caused me immense suffering.
Con salsa stenperata di languire.,with a sauce filled with anguish.,With a mild sauce of affliction.
Languendo lungiamente in tal manera,long languishing in such a way,staying slowly in this mode
"E’ non sapea ove trovar socorso,",and he didn't know where to find help,and he didn't know where to get help
"Ché ’l tenpo fortunal, che m’era corso,",for the stormy times that I have suffered,for the stormy periods that I have suffered
M’avea gittato d’ognie bona spera.,"He had robbed me of all good hope,",He had deprived me of any positive hope.
"Allor tornò a me, che lungi m’era,","Then I return to myself, who was far away,","Then I return to myself, which was remote."
"Ragion la bella e disse: «Tu•ssè corso,","the good reason said, ""You are far away,","But in my thoughts you are near.""Joy said, ""You are distant, but in my mind you are near."""
"Se•ttu non prendi i•me alcun ricorso,",If you don't take but me no help,If you don't give me any support
"Po’ che Fortuna è ’nverso te sì fera,",For fortune is inverse upon thee.,For the lot is against you.
"Ed i’ ò tal vertù dal mi’ Segniore,",But from the Lord who created me,But from the Creator who molded me
"Che mi criò, ch’i’ metto in buono stato",I have such power that I put in good condition,I have such a great influence that I restore balance.
Chiunque al mi’ consiglio ferma il core.,anyone to my advice stops the heart,Anyone in my opinion blocks the feeling
"E di Fortuna, che•tt’à tormentato,",and the luck that tormented you,and the misfortune that plagued you
"Se vuogli abandonar il Die d’Amore,","if you want to abandon the God of Love,","if you wish to abandon the God of Love,"
Tosto t’avrò co•llei pacificato».,She quickly reconciles her with her.,Get your relationship back together quickly.
"Quand’i’ udì’ Ragion, che ’l su’ consiglio",When He Hears Reason and His Counsel,", follow his wordsWhen you listen to Wisdom and its suggestions, obey his instructions."
"Mi dava buon, e fin, sanza fallacie,","He gave me reason, without deception,","He gave me justice, honestly."
Diciendo di trovarmi acordo e pacie,saying to find agreement or peace,Proclaiming a Compromise
"Con quella, che m’avea messo ’n asiglio,",with the one who tormented me,with the one that had distressed me
"I’ le dissi: «Ragion, veco ch’i’ piglio!","I said to her, ""Ray, I'll adjust!""","I said to her, ""Religiousness, I will conform!"""
Ma non ch’i’ lassci il mi’ signior veracie,As long as I don't have to leave my true lord.,Unless I'm forced to separate from my true sovereign.
"Chéd i’ son su’ fedel, e’ sì mi piacie","For I am his faithful servant, and I like him.","for I am his loyal servant, and yes I like him very much."
Tanto ch’i’ l’amo più che padre figlio.,that I love him more than a son loves his father.,that I love him more than a son worships his father.
Onde di ciò pensar non è mestero,That's why it's not mystery.,"As a result, it is not a surprise"
"Né tra no’ due tenerne parlamento,","nor between the two of us, let alone talk about it.",Neither do you and I even discuss it.
"Ch’e’ non sarebe fatto di legiero,","because this would not be easy,",Because that wouldn't be easy.
Perciò ch’i’ falseria mi’ saramento.,So I would violate my sacrament.,So I would break my oath
"Megl’i’ amo di Fortuna eser guerero,",Better to be an enemy of Fortune.,To be against the Sorte.
Ched i’ a•cciò avesse pensamento».,that of what to have thoughts,of which to have considerations
"«Falsar tal saramento è san’ pechato,","To violate such a commitment does not constitute sin,",Breaking such an obligation is not an offense.
"Poi te’ ciaschun, secondo ,","for all know, second,","As known to all, consecutively"
"Che, se l’uon giura di far alcun male,","that if a man swears to do no harm,",that if a man promises not to cause any harm
"S’e’ se ne lascia, non è pergiurato.","And then he refrains from doing it, he's not a liar.","and then refrain from doing so, it is not dishonest"
Tu mi proposi che tu sè giurato,You prostrate me that you swore,You beg me that you promised
"A questo Dio, che•tt’à condotto a tale","to this god, who led you here","To this divine, who brought you here"
"C’ognie vivanda mangi sanza sale,",that every food that you eat without salt,that every meal that consumes insipid
Sì fortemente t’à disavorato.,It has greatly lightened you.,The burden has greatly lifted you up.
"E’ sì si fa chiamar il ‘Die d’Amore’,","And he calls himself the God of Love,","whatever his name is, he appeals to the Deity of the Slice, whatever his name is."
Ma chi così l’apella fa gran torto,But who calls him that makes a big comeback,But whoso baptizes him makes a great rotation
Ché su’ sornome dritto si è ‘Dolore’.,Because his real name is Pain.,Because his name is Suffering.
"Or ti parti da•llui, o tu sè morto,","Now separate from him, or you're dead,","Either he is deadNow divided by him, either you perish, or he perish."
"Né no ’l tener giama’ più a signiore,","and don't keep him like your lord anymore,",and no longer regard him as your master.
"E prendi il buon consiglio, ch’i’ t’aporto».",and take the good advice that I bring you back!,and follow the wise suggestion that I am referring to you!
"«Ragion, tu sì mi vuo’ trar   d’amare,","Reason, you want to stop me from loving,","But I can't Rationality, you want to stand in my way of loving, but I can't."
"E di’ che questo mi’ signor è reo,",And you say that this lord of mine is harmful,and you claim that this master of mine is harmful
"E ch’e’ non fu d’Amor unquanche Deo,",and that I was never God of Love,and that I have never taken the position of Deity of the Affect.
"Ma di Dolor, secondo il tu’ parlare.","But of pain, according to your speech","But of affliction, according to your speech."
"Da•llui partir, non credo ma’ pensare,",I never thought I'd get away from him.,I never thought I'd get away from him.
"Né tal consiglio non vo’ creder eo,","nor do I want to follow your advice,",I don't want to hear your suggestion.
Chéd egli è mi’ Segnior ed i’ son seo,"For he is my Lord, and I am his.","For he is my Sovereign, and I am his servant."
"Fedel, sì è follia   di ciò parlare.",Faithful; it is madness to speak of such things.,Loyal; it is foolishness to discuss such matters.
Per ch’e’ mi par   che ’l tu’ consiglio sia,That's why it seems to me that your advice goes,FollowedFor this reason it seems to me that your suggestion should be adopted
"Fuor di tu’ nome troppo oltre misura,","beyond the limits of your name,",beyond the boundaries of your name
Che sanza Amor nonn-è altro ch’enuìa.,because being without love is nothing but a burden.,because not having love is only a burden.
"Se Fortuna m’à tolto or mia   ventura,","If luck took my luck away,",If Destiny has robbed me of wealth.
"Ella torna la rota tuttavia,","She will continue to shoot, however,",She will continue to shoot nonetheless.
"E quell’è quel, che molto m’asicura».",and that is what reassures me very much.,And that is what reassures me very much.
«Di trareti d’amar nonn-è mia ’ntenza»,"It is not my intention to stop you from loving,",I have no intention of forbidding you to love.
"Disse Ragion «né da•cciò non ti butto,","He said Reason, nor do I want to discourage you from this,","Reason he affirmed, nor do I want to discourage you from doing so."
"Ch’i’ vo’ ben che•ttu ami il mondo tutto,",because I want you to love all over the world,For I earnestly desire that you love the whole earth.
Fermando in Giesocristo tu’ credenza.,Strengthening your belief in Jesus Christ,Strengthening Your Faith in Jesus Christ
"E s’ad alcuna da’ tua benvoglienza,","And if you give your love to someone,","You should have the right to expect the same If you give your affection to someone, you may expect the same consideration."
"Non vo’ che•ll’ami sol per lo ditutto,",I don't want you to love her just please.,I don't want you to appreciate it just to please.
"Né per diletto,   ma per trarne frutto:","or to delight, but to bear fruit,","For fun, but for profit."
"Ché, chi altro ne vuol, chade in sentenza.",For whoever wants another end falls into sin.,for he who desires a different conclusion incurs the crime.
"Ver è ch’egli à in quel’opera diletto,","It is true that there is great joy in that act,",It is indisputable that there is a great joy in that action.
"Che Natura vi mise per richiamo,","that nature set you as a call,",that nature set you as a stimulus
"Per più sovente star con esse in letto,",to sleep with women more often.,so that they may go more frequently to bed with women.
"Ché, se ciò non vi fose, ben sapiamo","And if that's not the case, we know well.","What would it be if it weren't so, we clearly know what the situation would be."
Che poca giente porebe già petto,that few people would commit themselves,that few would work
"Al lavorio, che cominciò Adamo».",in the work that Adam began.,in the work that Adam began.
"I’ le dissi: «Ragion, or sie ciertana,","I said to her: Reason, now that you are certain","Say to her: Conviction, now that you're sure."
Po’ che Natura diletto vi mise,since nature delighted,in diversitySince nature offered pleasure in variety
"In quel lavoro, ched ella no ’l v’asise","in that job, which didn't put it there","in that job, which didn't take him there"
"Già per niente, ché non è sì vana,","Already for nothing, for it is not vain,","Hope is an unparalleled force.Already for nothing, for it is not fruitless, Hope is an incomparable power."
"Ma per continuar la forma humana,",But to continue with the human form,"But to persevere with the human aspect,"
"Sì vuol ch’uon si diletti   in tutte guise,",Man is wanted to enjoy himself in many ways,It is desired that man be delighted in many ways.
"Per volontier tornar a quelle asise,","to gladly return to these meetings,",to return with pleasure to these meetings.
Ché ’n dilettando sua semenza grana.,that by having fun his seed produces fruit.,that by having fun his work bears fruit.
"Tu va’ diciendo ch’i’ no•mi diletti,","You're saying I don't have to have fun,",You say I shouldn't be happy.
Mad i’ per me non posso già vedere,but I can't for the life of me understand,but I cannot understand for my life
Che sanza dilettar huon vi s’asetti,that without fun no one would start,that without enthusiasm no one would start
"A quel lavoro, per ch’io ferm’ò volere:",To that work; because I stopped my will.,At that job; for I ceased my desire.
Di dilettar col Fior no•me ne gietti.,Don't dissuade me from taking pleasure in the Flower!,Don't discourage me from having fun with the Flower!
Faccia Dio po’ del Fiore su’ piaciere!».,Then let God do what He desires with the Flower!,Then let the Divine do what He desires with the Plant!
«Del dilettar non vo’ chiti tua parte»,"I don't want you to give up your pleasure,",I don't want you to give up your fun.
"Disse Ragione «né che sie sanz’amanza,","said Reason, nor that thou art without a lover,","said Reason, nor that thou art without a companion."
"Ma vo’ che prendi me per tua ’ntendanza,",But I want you to take me for your lady;,But I want you to welcome me as your wife.
Ché•ttu non troverai i•nulla parte,'Cause you're not gonna find anywhere.,'Cause you won't find out anywhere else.
"Di me più bella, e n’agie mille carte,","a woman more beautiful than me, even if you look in a thousand cards","a woman more attractive than me, even if you look in a thousand places"
Né che•tti doni più di dilettanza.,You don't like it anymore.,Nor do you get more satisfaction.
Degnia sarei d’esser reina in Francia:,I'd be worthy of being the Queen of France.,I'd be worthy to reign over France.
"Sì fa’ follia, s’ tu mi gietti a parte,","So, it would be crazy to throw away,","so, it would be foolish to abandon"
"Ch’i’ ti farò più rico che Richeza,",that I will make you rich more than Wealth,That I will make you more abundant than Prosperity.
"Sanza pregiar mai rota di Fortuna,",without worry that the wheel of Fortune,may turn without fear that the wheel of the Sorte may turn
Ch’ella ti possa mettere in distreza.,that she might put you in a state of displeasure.,that she causes you a sense of sadness.
"Se be•mi guardi, i•me nonn-à nesuna","If you look at me well, you won't find in me any","ImperfectionIf you look at me carefully, you will not detect any defects in me."
"Fazon, che non sia fior d’ognie belleza:",characteristic that is not the best of every beauty;,fault of every perfection.
"Più chiara son che nonn-è sol, né luna».",I'm brighter than the sun and moon.,I'm brighter than the sun and moon.
"«Ragion, tu sì mi fai largha proferta","Reason, you make me a big offer.","Reason, you're making me a substantial offer."
"Del tu’ amor,  e di te,  ma i’ son dato","of your love and of you, but I devout","of your affection and of you, but I devout"
"Del tutto al Fior,   il qual non fia canbiato","of all to the Flower, which will not make me change","of all to the Flower, which will not cause me to change"
"Per me ad altr’amor,   di ciò sie cierta.",for another love: of this I am certain,for another affection: of this I am sure
"Né non ti vo’ parlar sotto coverta,",I don't want to talk to you in a few clear terms.,I do not wish to converse with words that are not explicit.
"Ché, s’i’ mi fosse al tutto a•tte gradato,","If I were all you wanted,","It would be so easy if you were what you wanted, it would be so simple."
"Ciertana sie ch’i’ ti verre’ fallato,",Then you can be sure I wouldn't be loyal to you.,Then you can be sure I wouldn't be loyal to you.
"Che ch’i’ dovesse aver, o prode o perta.","Whatever I have in return, or gain or loss.","Anything I would return, or profit or deficit."
"Allora avre’ fallato   a•llui e te,","Then I would have deceived him and you,",Then I would have cheated him and you.
"E sì sarei provato   traditore,","and I would surely be a traitor,",And I would undoubtedly be unfaithful.
Ched i’ gli ò fatto saramento e fé.,Because I swore to him and promised him loyalty.,For I have assured him and declared allegiance.
"Di questo fatto non far più sentore,","Don't say another word about this,",Don't add any more on this subject.
"Ché ’l Die d’Amor   m’à•ssì leghato   a•ssé,",because the God of Love has so bound me to,Why did the Divine of Affetto set me so attached to him?
Che•tte non pregio e lui tengo a Signiore».,"which I esteem thee very little, and he consider him my lord.",that I respect him very little and he is my ruler.
"«Amico, guarda s’ tu fai cortesia","Dude, see if you're being polite.","Dude, watch if you show courtesy."
Di scondir del tu’ amor tal damigiella,refusing to love a woman,denying affection to a woman
"Chente son io, che son sì chiara e bella,","as I am, that I am so shining and beautiful","As am I, that I am so bright and attractive."
Che nulla falta i•me si troveria.,that no defect in me you will find.,that no vice in me you will discover.
"Nel mi’ visagio   l’uon si spechieria,",in my face the man was mirrored,in my face the man reflected
"Sì non son troppo grossa, né tro’ grella,","and I am neither too big nor too thin,",and they are neither overly bulging nor slim.
"Né troppo grande, né tro’ piciolella.",neither too big nor too small:,not excessively large or insignificant.
"Gran gioia avrai, se m’ài in tua balia,",You will have great joy if you have me in your power.,You'll have great happiness if you have me under your control.
Ched i’ sì•tti farò questo vantagio:,For I will give you this favor:,For I will bestow upon you this benefit.
"Ch’i’ ti terrò tuttor in ricco stato,","I will always keep you in a prosperous state,",I'll always keep you in a thriving situation.
Sanz’aver mai dolor nel tu’ coragio.,and you will never have any pain in your heart.,and you will never have any suffering in your heart.
"E’ così tenni Socràto   beato,",And so I held Socrates blessed,So you keep Socrates happy.
"Ma mi credette e amò come sagio,","But he, as a wise man, believed and loved me,","But he, as an intelligent person, confided and attached me."
Di che sarà di lui senpre parlato.,what will become of him without talking,what will happen to him without communicating
"Quel Socràto, dond’i’ ti vo parlando,",That Socrates I told you about,That Socrates I told you about
"Si fu fontana piena di salute,","was a true fountain of happiness,",It was a true source of joy.
"Della qual derivò ognie salute,","from which all happiness is derived,",from which all joy is dealt with.
Po’ ched e’ fu del tutto al me’ comando.,after he was under my command.,after he was under my guidance.
Né mai Fortuna no ’l gi’ tormentando:,Luck never tormented him;,The fate never distressed him.
"Non pregiò sue levate, né cadute,",He didn't listen to his ups and downs.,He ignored his ups and downs.
"Suo’ gioie e noie per lui fur ricievute,","He accepted his joys and problems,",He welcomed his happiness and dilemmas.
Né ma’ su’ viso non n’andò canbiando.,and never changed his face.,and never changed the look of his face.
"E bene e mal mettea in una bilanza,",I put good and evil on a scale,I've thought about good and evil in a stadera.
"E tutto la faciea igual pesare,",And all made him equally heavy.,And I'll weigh it all the same.
"Sanza prenderne gioia, né pesanza.","without joy, nor sadness","Without joy, neither despair, nor despair."
"Per Dio, ched e’ ti piaccia riguardare","In God's name, please reconsider.","My requestIn the name of the Most High, I implore you to reconsider my request."
"Al tu’ profitto, e prendim’ad amanza!","For your profit, and take me as your lover!","For your convenience, and accept me as your companion!"
Più alto non ti puo’ tu inparentare.,You can't learn from a higher one.,You can't ally yourself with someone more powerful than you.
Ancor non vo’ t’incresca d’ascoltarmi,I don't want you to get tired of listening to me.,I don't want you to wear yourself out to listen to me.
"Alquanti motti, ch’i’ voglio ancor dire.",the few things I still want to say,The few words I still wish to express
"A ritenere intendi, e a udire,",evidence to understand and hear,test understanding and listen
Ché non potresti aprender miglior’ salmi.,because you cannot learn better psalms.,because you cannot acquire more excellent verses.
"Tu sì à’ cominciato a biasimarmi,",You started to blame me.,You started scolding me.
"Perch’i’ l’Amor ti volea far fugire,","because I wanted you to flee from Love,",for I desired to escape from the feeling of Love.
Che fa le gienti vivendo morire:,"that makes people die the way they live,",that causes death as you live
"E tu ’l saprai ancor, se no•lo spalmi!","And you'll know it again, or you'll learn.","And you'll still know him, or you'll learn."
"Sed i’ difendo a ciaschedun l’ebreza,",But I defend myself from all drunkenness,But I preserve myself from all drunkenness.
"Non vo’ che ’l ber per ciò nesun disami,",I don't want to be disarmed by drinking.,I don't want alcohol consumption to make me lose my estimate.
Se non se quello che la giente bleza.,If not the one who bled her out.,If that's not what people praised.
"I’ non difendo a•tte che•ttu nonn-ami,",I don't defend you that you don't love,I don't support you that you hate.
"Ma non Amor, che•tti tengha ’n distreza,",but not the Love that keeps me at a distance,but not the Affetto that keeps me at a distance
E nella fin dolente te ne chiami».,"and in the end, sorrowful, calls you","at the conclusion, afflicted, I called you"
"Quando Ragion   fu assa’ dibattuta,",when reason was sufficiently debated,When the matter was properly debated.
"E ch’ella fecie capo al su’ sermone,","and that she brought to an end her sermon,",and that she completed her speech.
"I’ sì•lle dissi: «Donna, tua lezione","I said, ""Woman, your lesson.""","I said to her, ""Ma'am, your teaching."""
"Sie cierta ch’ella m’è poco valuta,",I'm sure it didn't have much value for me.,There is no doubt that it has been insignificant to me.
"Perciò ch’i’ no•ll’ò punto ritenuta,",So I didn't really hold her.,as a result I didn't consider it
Ché non mi piacie per nulla cagione.,because I don't like it for any reason,I don't like it for any reason.
"Ma chui piaciesse   tal amonizione,","but who liked such warnings,",but who liked such warnings
"Sì gli sarebe ben per me renduta,",It would have been good for me if it had been made,It would have been beneficial for me if it had been made feasible.
"Chéd i’ so la lezion   tratutta a mente,",that I know all the lesson held in mind,that I have memorized the whole lesson
"Per ripetall’a giente   chu’ piaciesse,",To tell those people who liked it,To repeat to those people who were welcome
"Ma già per me nonn-è savia niente,",but for me it contains no wisdom.,But to me he doesn't express any wisdom.
"Ché fermo son, se morir ne dovesse,","that I am still, if I die,","that I am inert, if I should die"
"D’amar il Fior, e ’l me’ cor vi s’asente,","to love the Flower, and my heart agrees,","to worship the Flower, and my heart agrees."
"O ’n altro danno, ch’avenir potesse».",or another damage that could come,another adversity that could happen
"Ragion si parte, quand’ella m’intese,","When he heard my words, the reason went away","When he heard my words, logic went away."
"Sanza tener più meco parlamento,",without giving any more speech with me,without talking to me anymore
Ché trovar non potea nullo argomento,because he could find any argument,because he couldn't find any arguments
"Di trarmi de lacciòi, ’n ch’Amor mi prese.",to free me from the snare in which Love took me.,to escape the grip in which Love had taken me.
Allor sì mi rimisi a le difese,Then I stood up for myself.,Then I stood up for myself.
"Co’ mie’ pensieri, e fu’ i•magior tormento","with my thoughts, and it was the greatest torment","with my elucubrations, and it was the greatest suffering"
Assa’ ched i’ non fu’ al cominciamento.,enough for me to be at first,enough for me to be at the origin
Non mi valea coverta di pavese.,I wasn't worth covering for Pavese.,I didn't need protection of any kind.
Allor sì piaque a Dio ch’e’ ritornasse,"Then he pleased God, and returned.",peaceThen pleasure was to God and calm returned.
Amico a me per darmi il su’ consiglio.,Friend to me to give me his advice.,The friend gave me his suggestion.
"Sì tosto ch’e’ mi vide, a me si trasse","As soon as he saw me, he got close.","As soon as he saw me, he pulled over."
"E disse: «Amico, i’ sì mi maraviglio","And said, Friend, I am astonished.","And he said, Comrade, I am astonished."
Che ciascun giorno dimagre e apasse.,who slimmed down every day and became weaker,that every day was refined and became more fragile
Dov’è il visagio tu’ chiaro e vermiglio?».,Where's your bright red face?,Where's your rubim and bright face?
"«Non ti maravigliar s’i’ non son grasso,",Don't be surprised if I'm not fat,Don't be surprised if I'm not overweight.
"Amico, né vermiglio, com’i’ soglio,","Dude, neither vermilion as usual","Dude, neither red as usual."
Ch’ognie contrario è presto a•cciò ch’i’ voglio.,Because everything against is soon for what I want,Because everything else is fast for what I want.
"Così Fortuna m’à condotto al basso,",So Fortune led me down.,Thus Destiny led me to the bottom.
