Original,Translate_fr_1,Translate_fr_2
"Ben sagia   mente e fermo ti contieni,",Agis avec sagesse et persévérance;,Agis avec prudence et persévérance.
"C’avanti ch’ella dica: “Amico, tieni","avant qu'elle ne dise: ""Mec, tiens...""","Avant qu'elle ne s'écrie: ""Mec, attrape !"""
"Delle mie gioie”, più volte t’asagia.","de mes joies, je t'ai mis plusieurs fois","en garde contre mon bonheur, je t'ai averti plusieurs fois"
"E se•ttu ami femina volaggia,","Et si tu aimes une femme volumineuse,","Ne t'attends pas à ce qu'il devienne stable et si tu aimes une femme variable, ne t'attends pas à ce qu'elle devienne stable."
"Volagia   mente davanti le vieni,","Venir avant vous d'une manière volumineuse,",Précédemment...
"E tutt’a la sua guisa ti mantieni,",et que tu gardes ta façon de faire,et vous agissez comme vous le souhaitez
"Od ella ti terrà bestia salvaggia,",Elle te considère comme une bête sauvage.,ou elle te considère comme un animal sauvage
"E crederà che•ttu sie un papalardo,",et de croire que tu n'es pas un hypocrite,et de te dire que tu n'es pas un feignant.
Che sie venuto a•llei per inganarla.,que tu es venu la berner.,que tu es venu la voir pour la tourmenter.
"Chéd ella il vol pur giovane e galliardo,",Parce qu'elle veut quelqu'un qui est jeune et robuste.,Parce qu'elle veut quelqu'un qui est jeune et vigoureux.
"La buona e•ssagia,   ma di ciò non parla",Une bonne et sage femme ne parle jamais de cela;,Une dame bienveillante et expérimentée n'en parle jamais.
"Anz’ama più l’uon fermo che codardo,","En fait, il aime un homme déterminé plus qu'un lâche,","En fait, il aime un homme déterminé plus qu'un lâche."
Ché non dotta che que’ faccia blasmarla.,Parce qu'elle ne sait pas ce qui la fera blâmer.,?pourquoi ne savez-vous pas ce qui vous réprimandera?
"Ancor convien che•ttu saccia ’lcun’arte,",Mieux vaut que vous connaissiez certaines règles.,Connaître quelques principes est encore mieux.
Per ghovernar e te e la tu’ amica:,"pour te gouverner, toi et ton amie:",présider sur toi et ton amie
"Di buon’ morselli tuttor la mi notrica,","nourrissez-la encore de bouchées tendres,","de mots d'amour nourrissez-la encore avec des bonbons, des mots d'affection"
E dàlle tuttavia la miglior parte.,et lui donner toujours la meilleure partie.,et lui accorder toujours la partie la plus précieuse.
"E s’ella vuol andar i•nulla parte,","Et si vous voulez aller quelque part,","vous devez prendre un bus Si vous souhaitez vous rendre quelque part, vous devrez utiliser un bus."
"Sì•lle dì: “Va, che Dio ti benedica!”.","Dis-lui: Allez, et que Dieu vous bénisse.","Dites-lui: Partez, et que Dieu vous accorde Sa bénédiction."
In gastigarla non durar fatica,"Ne perds pas ton temps à la réprimander,",N'investis pas ton précieux temps pour la réprimander.
Se dal su’ amor non vuo’ tagliar le carte.,À moins que tu veuilles mettre fin à cette relation.,À moins que tu n'aies l'intention d'interrompre la connexion.
"E se•lla truovi l’opera facciendo,",Et si tu découvres qu'il fait l'amour...,Et s'il s'avère qu'il fait l'amour...
Non far senbiante d’averla veduta:,Ne la laisse pas la voir.,Ne le laisse pas t'échapper.
In altra parte   te ne va fugiendo;,"Et dans un autre sens, tu t'en vas en fuyant.","Et dans un autre sens, tu t'en éloignes."
"E se•lle fosse lettera venuta,",et si la lettre était arrivée,en retard si la lettre avait été reçue tardivement
Non t’intrametter d’andar inchegiendo,Il ne s'inquiète pas d'aller lui demander.,Il ne prend pas soin de lui demander.
"Chi•ll’à recata, né chi la saluta.","qui s'est rendue, ni de ceux qui saluent","qu'il a visité, ni de qui saluer"
"S’a scachi, o vero a•ttavole, giocassi",si je jouais aux échecs ou vrai à table,si je jouais aux échecs ou un match de dame
"Co•lla tua donna, fa c’agie il pigiore","avec votre dame, assurez-vous que","Soyez heureuse avec votre épouse, assurez-vous qu'elle soit heureuse."
"Del gioco, e dille ch’ell’è la migliore",Et dis-lui que c'est elle la meilleure du jeu.,Et dis-lui que c'est elle la plus belle du jeu.
"Dadi-gittante, che•ttu mai trovassi.",données géantes que je n'ai jamais vues,grandes masses d'informations que je n'avais jamais vu
"S’a coderon giocaste, pignia anbassi,","Et si vous jouez au coderon, lancez occh,","Et si vous jouez au coderon, jetez des dés."
E fa ched ella sia là vincitore.,et qu'elle soit le vainqueur,Et rends-la triomphatrice.
"Della tua perdita non far sentore,",Ne fais pas sentir ta perte.,Ne fais pas sentir ton absence.
Ma che cortesemente la ti passi.,Mais quel genre de gentillesse vous passe-t-il ?,C'est une bonne idée. Elle te passe par l'esprit.
"Falla seder ad alti, e•ttu sie basso,","Asseyez-la dans un haut endroit, et vous en bas,","Asseyez-vous dans un endroit plus haut, et vous en position plus basse."
"E sì•ll’aporta carello, o cuscino:",et apporte une carelle et un coussin;,Et trouve-toi un chariot et un oreiller.
Di le’ servir non ti veghi mai lasso.,Il ne l'a jamais laissée te voir fatigué de la servir.,Il ne vous a jamais permis de constater votre peine à vous servir.
"S’adosso le vedessi un buscolino,",Si je devais voir un point sur elle...,Si je devais trouver une petite tache sur elle...
"Fa che glie•levi, e se vedessi sasso,","Assurez-vous de le brosser, et si vous devriez voir une pierre",Assurez-vous de brosser et de voir un caillou.
"Là ’v’ella dé passar, netta ’l camino.","Là où il doit marcher, il brosse le sentier.","Où il doit aller, balayer le tracé."
A sua maniera ti mantien tuttora:,"À sa façon, il te garde toujours.",De façon particulière encore vous conserve
"Che s’ella ride, ridi, o balla,   balla,","Si elle rit, tu ris, ou si elle danse, tu danses.","Si elle exulte, tu fêtes, ou si elle danse, tu danses."
"O s’ella piangie, pensa   a consolalla,","Et s'il pleure, pense et console-la,","Et s'il verse des larmes, réfléchis et rassure-la."
Ma fa che pianghe tu sanza dimora.,Mais assurez-vous de pleurer sans tarder.,Assurez-vous de pleurer sans retard.
"E se con altre done fosse ancora,",et si avec d'autres femmes elle était encore,et si avec d'autres dames était encore
"Che giocasero al gioco della palla,",qui jouaient au jeu de la balle,qu'ils s'amusaient avec le jeu de la balle
"S’andasse lungi, corri ad aportalla.","Vous devriez aller loin. Coeurs, ramenez-le à vous.","Il devrait s'éloigner, mais l'approcher d'elle."
A•lle’ servir tuttor pensa   e lavora.,Il pense toujours qu'il la sert et qu'il travaille.,sodoReflette toujours sur la façon de les rendre service et travaille avec engagement.
"E se vien alcun’ or   ch’ella ti tenza,",Et si le moment arrive où il se dispute avec toi...,S'il arrive le moment où il se dispute avec toi...
"Ch’ella ti crucci sì, che•ttu le dài,","Ou quand tu es si en colère que tu la frappes,",Ou quand tu es si en colère que tu la frappes.
"Imantenente torna ad ubidenza,","Retourne les obéir,",Retourne immédiatement les obéir.
"E giurale che ma’ più no ’l farai,",et jure-lui que tu ne le referas plus jamais.,Promets-lui que tu ne feras plus la même erreur.
Di quel ch’ài   fatto farai   penitenza:,Tu vas faire pénitence pour ce que tu as fait.,Tu vas répondre pour tes actions.
"Prendila e falle il fatto, che•tti sai.",Attrapez-la et faites-lui ce que vous faites le mieux !,Prenez-la et faites ce que vous savez faire le mieux!
"Sovr’ognie cosa pensa di lusinghe,","Pense à toutes les flatteries,",que tu as reçu Pensée à tous les compliments que tu as reçus.
"Lodando sua maniera, e sua fazone,","en louant ses bonnes manières et son apparence,","sa beauté fut appréciée en louant sa gentillesse et son charme, son accomplissement fut reconnu."
"E che di senno passa Salamone,",et comment Salomon passe avec sagesse;,et comment Salomon procède avec sagesse.
Con questi motti vo’ che•lla dipinghe.,"Par ces mots, je veux que tu la décris.","Par ces mots, je veux que tu l'exprimes."
Ma guarda non s’avega che•tti’nfinghe,Il ne savait pas que tu faisais semblant.,Mais elle n'était pas au courant que tu faisais semblant.
Ché non v’andresti mai a prociessione:,"parce que tu n'irais jamais en procession,",Pourquoi tu ne te joindrais jamais au défilé ?
Non ti varebe lo star ginochione.,Et tu n'aurais pas besoin d'être à genoux.,Et tu n'aurais pas besoin de t'agenouiller.
"Però quel lusinghar fa che tu ’l tinghe,","Mais ce flatteur fait en sorte que vous le teigniez,",Mais cet adulaire t'amène à le tenir en haute estime.
"Chéd e’ n’è ben alcuna sì viziata,",Parce qu'il n'y a rien d'aussi vicieux.,Parce qu'il n'y a rien d'aussi corrompu
Che non crede giamai ta’ favolelle,"qui ne croit jamais à de telles histoires,",qui ne croit jamais à de tels récits
Per c’altra volta n’è stata   beffata;,parce qu'elle avait été ridiculisée une fois,parce qu'elle avait été ridiculisée un temps
"Ma queste giovanette damigielle,",Mais ces jeunes demoiselles d'honneur,Mais ces jeunes filles
"Chu’ la lor terra non n’è stata   arata,",que leur terre n'a pas été labourée,que leur terre n'a pas été cultivée
Ti crederanno ben cota’ novelle!,Ils te croiront bien à ces nouvelles.,vous accueilleront favorablement avec ces changements
"Se•ttu ài altra amica procacciata,","Si tu as une autre amie,","Si tu as une autre amie,"
"O ver che•ttu la guardi a procaciare,","Ou que tu la regardes pour la trouver,","ou que tu veuilles l'acheter, ou que tu la regardes pour l'acquérir, ou que tu veuilles l'acheter."
E sì non vuo’ per ciò abandonare,et vous ne voulez pas pour cela abandonner,l'espérance ne veut pas renoncer à l'attente
"La prima, chu’ à’ lungho tenpo amata,",la première que longtemps aimée,La première qui a longtemps été chère.
"Se•ttu a la novella à’ gioia donata,",Si tu as donné la joie à la nouvelle,"couples, tu as rendu le jeune couple heureux"
Sì dì ch’ella la guardi di recare,Dis-lui que tu la regardes pour qu'elle revienne.,l'harmoniadille qui la regarde pour rétablir l'équilibre
"In luogo, ove la prima ravisare",dans un endroit où la première rencontre,dans un endroit où la première percevoir
"No•lla potesse, ché seria ’smenbrata.","Elle ne pourrait pas faire ça, parce qu'elle serait détruite.","Elle ne pourrait pas faire ça, parce qu'elle serait dévastée."
"O s’ella ancor ne fosse in sospezone,",ou s'il était encore suspect,ou si elle était encore douteuse
"Fa saramenta ch’ella t’aggia torto,",Fais en sorte qu'elle ait tort.,Fais en sorte qu'elle ait tort.
C’unque ver’ lei non fosti in mesprigione;,quiconque envers elle n'était pas dans le mépris,quiconque envers lui ne se montrerait pas dédaigneux
"E s’ella il pruova, convien che sie acorto","Et si vous les essayez, vous devriez être prudent.","Et si vous les exécutez, vous devriez être vigilant."
"A dir, che forza fu, e tradigione:","à dire, quelle force il fut, et la trahison","à raconter, quelle force et quelle ruse ont été utilisées, et quelle infidélité."
Allor la prendi e sì•lle innaffia l’orto.,Alors prends-la et elle arrose le potager.,Prends-la et arrose-la dans le jardin.
"E se•ttua donna cade in malatia,",et si ta femme tombe malade,et si ta compagne tombe malade
"Sì pensa che•lla faccie ben servire,","Assurez-vous que vous avez bien servi,",s'assurer que vous avez bien prêté.
Né•ttu da•llei giamai non ti partire.,Et tu ne t'éloigneras jamais d'elle.,Et tu ne te sépareras jamais d'elle.
"Dàlle vivanda, c’a piacier le sia,","Donne-lui de la nourriture, qu'elle aime","Donne-lui de la nourriture, qu'elle l'aime."
"E po’ sì•lle dirai: “Anima mia,","Et tu lui diras: ""Mon âme,","Tu es la lumière de ma vie, et tu lui diras: ""Ame chérie, tu es l'éclat de mon existence."""
Istanotte ti tenni in mio dormire,"Hier soir, dans mon rêve, je t'ai gardé.",Je t'ai fait un câlin dans mes rêves.
"Intra.lle braccia sana, al me’ disire:","dans mes bras sains, à mon désir:","dans mes bras sains, à mon désir."
"Molto mi fecie Idio gran cortesia,","Dieu m'a fait une grande faveur,",Dieu m'a montré une grande gentillesse.
Che mi mostrò sì dolze avisione”.,qui m'a montré une vision si douce.,qui m'a donné une perspective si tendre.
"Po’ dica, ch’ella l’oda, come sagio,","Puis dites-lui que vous l'écoutez, comme un sage,","Puis vous dites que vous l'écoutez, comme un sage."
"Che per lei fara’ far gran prociessione,",qui pour elle fera une grande procession,qui pour elle fera un grand défilé
"O•ttu n’andra’ in lontan pellegrinagio,","ou que tu ailles dans un long pèlerinage,",ou que vous restiez chez vous indépendamment de si vous partez en voyage prolongé ou si vous restez chez vous
Se Giesocristo le dà guerigione.,si Jésus-Christ la guérit.,Si Jésus-Christ la guérit.
"Così avrai il su’ amor, e ’l su’ coragio».","Ainsi, tu auras son amour et son courage","De cette façon, vous obtiendrez son affection et son intrépide."
"Quand’ebi inteso Amico, che leale","Quand j'ai entendu Ami, quel fidèle","C'était quand j'ai écouté Ami, qui m'avait été loyal."
"Consiglio mi dava, a su’ podere,","Il me conseillait, à son pouvoir.","Il me donnait des conseils, au mieux de ses capacités."
"I’ sì•lli dissi: «Amico, il mi’ volere","Je lui ai dit, mon ami, ma volonté","C'est ta loi que je lui ai dit: Camarade, mon désir est ta règle."
"Non fu unquanche d’esser disleale,",Il ne devait jamais être déloyal.,Il ne devait jamais être infidèle.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",Dieu n'aime pas que je sois conduit à cela.,fin que je ne sois jamais poussé à cette fin.
"Ch’i’ a le gienti mostri benvolere,",que je montre de la bonté aux gens,que je manifeste de la courtoisie aux personnes
"E servali del corpo, e dell’avere,",et les serviteurs du corps et de l'avoir,et les serviteurs du corps et de la possession
Ched i’ pensase poi di far lor male.,Et j'aurais pensé leur faire du mal.,"Plus tard, j'aurais envisagé de lui faire du mal."
Ma sòffera ch’i’ avante disfidi,"Mais avant tout, laissez-moi vous défier.","Tout d'abord, permettez-moi de vous défier."
"E Mala-Bocca, e tutta sua masnada,","Malabocia et toute sa bande,",Malabocia et ses compagnons ont disparu.
"Sì che neuno in me giamai si fidi,",Que personne en moi ne me fasse confiance,Que personne en moi ne se confie jamais
Po’ penserò di metterli a la spada».,Je les mettrai à l'épée.,Puis je penserai à les défier par l'épée.
"Que’ mi rispuose: «Amico, mal ti guidi:","qui me répondit: ""Mec, mais tu te trompes:","qui m'a répondu: ""Je suis avec toi, mais tu te trompes:"
Cotesta sì nonn-è la dritta strada.,Ce n'est pas la bonne voie.,Ce n'est pas le bon chemin.
"A te sì non convien far disfidaglia,",Ce n'est pas à toi de relever ce défi.,Il n'est pas conseillé à vous de faire face à cette épreuve.
Se•ttu vuo’ ben civir di questa guerra.,Si tu veux bien mettre fin à cette guerre.,Si vous désirez conclure cette question à juste titre.
"Lasciala far a’ gran’ signior’ di terra,",Laisse-la faire aux grands maîtres de la terre,Laisse-la faire aux seigneurs suprêmes de la terre.
Che posson soferir oste e battaglia.,qui peuvent se permettre l'armée et les batailles!,Qui se donnent le luxe de l'armée et des escarmouches!
"Mala-Bocca, che così ti travaglia,","Malabocia, qui te hante comme ça,","C'est une chose qui ne dure pas Malédiction, qui vous afflige, c'est une situation qui ne persiste pas."
È traditor: chi ’l tradiscie non erra.,C'est un traître: celui qui le trahit ne se trompe pas;,C'est un infidèle: celui qui le déserte ne commet aucune erreur.
"Chi con falsi senbianti no•ll’aferra,","qui ne l'attrape pas par de fausses apparences,","Il le conquiert par les bonnes actions, Il ne le séduit pas par la tromperie, Il le vainc par les gestes bienveillants."
Il su’ buon giocho mette a ripentaglia.,Il met en danger son bon jeu.,Il met en danger son succès.
"Se•ttu lo sfidi, o batti, e’ griderà,","Si vous le défiez ou le frappez, il criera,","Si vous le défiez ou l'attaquez, il hurlera."
Chéd egli è di natura di mastino:,parce qu'il est d'une nature méchante,parce qu'il est de nature canine
"Chi più ’l minaccia, più gli abaierà.","Celui qui le menace le plus, plus il l'aboiera.","contre qui plus il le menace, plus il rugira contre lui."
"Chi Mala-Bocca vuol metter al chino,",Quiconque veut conquérir Malabocia,"Il doit faire face à un grand défi Si quelqu'un veut gagner Malabocia, il doit faire face à une énorme épreuve."
"Sed egli è sagio, egli•lusingherà:","le flattera, s'il est sage,",Il va l'adorer s'il est avisé.
Ché cierto sie quell’è ’l dritto camino».,qu'il est certain que c'est la bonne voie.,qu'il est inouï que c'est la voie appropriée.
"«Po’ mi convien ovrar di tradigione,","""Puis je ferais mieux d'opérer de tradition,","Si je veux que la chose soit faite,""Alors, procéder selon la coutume est nécessaire si je veux que la tâche soit accomplie."
"E a•tte pare, Amico, ch’i’ la faccia,","Et tu as l'air, mec, que je le fasse,","Est-ce que ma part te semble, camarade, que je fasse mon devoir ?"
"I’ la farò,   come ch’ella mi spiaccia,","Je vais le faire, comme si je ne l'aimais pas.","Je le ferai, malgré mon aversion."
Per venir al di su di quel cagnione.,Pour monter au-dessus de ce chien.,Pour l'emporter sur ce chien.
"Ma sì•tti priego, gientil conpagnione,","Mais s'il te plaît, gentil camarade,","Je t'en supplie, mon ami, de revenir."
"Se•ssai alcuna via, che•ssia più avaccia,","s'il y a une voie, qu'elle soit plus rapide",S'il y a un chemin plus rapide
"Per Malabocca e suo’ metter in caccia,",pour chasser Malabocia et les siens,adeptes d'Espeller Malabocia et ses acolytes
"E trar Bellacoglienza di pregione,",Et libérer Bell accueil de prison,Émancier Bell accueil de détention
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Que tu me l'apprennes et que j'y aille.,"Montre-le-moi, et je t'y rendrai."
"E menerò   comeco tal aiuto,",et j'apporterai une telle aide initiale,et je fournirai un tel soutien initial
Ched i’ quella forteza abatterò».,"Parce que cette forteresse, je l'adorerai.",Parce que cette fortification va s'effondrer
"«E’ nonn-à guari ch’i’ ne son venuto»,","""Ce n'est pas grand-chose que je suis venu de là.""",Je ne suis pas venu depuis longtemps.
"Rispuose Amico, «ma ’l ver ti dirò,","répondit l'Ami, mais je te dirai la vérité,","Répliqua son ami, mais je t'exprimerai la réalité."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","Si j'y suis allé, je l'ai regretté.","Que si j'ai voyagé, je regrette"
"S’uom apella il camin Troppo-Donare,",Si un homme appelle la cheminée Trop-Donner,Si un homme nomme le foyer généreusement-cadeau.
"E’ fu fondato per Folle-Largheza,",a été construit pour Folle-Largeza,Il a été édifié pour le mépris de la justice.
"L’entrata guarda madonna Richeza,",l'antrate regarde Madonna Richesse,L'entrée regarde Mme Abondance.
"Che non i lascia nessun huon passare,",Qui ne laisse aucun homme passer,Qui ne permet à aucun homme de traverser.
"S’e’ nonn-è su’ parente, o su’ conpare,","Si vous n'êtes pas de votre famille, ou votre ami.",", il n'est pas bienvenuS'il n'est pas son prochain, ou son compagnon, il n'est pas accueilli favorablement."
"Già tanto nonn-avrebe in sé belleza,","Peu importe la beauté qu'il peut avoir,","n'est pas une raison suffisante Peu importe à quel point elle peut être attrayante, ce n'est pas une motivation appropriée."
"Cortesia, né saver, né gientileza,","De l'aimableté, de la connaissance, de la bonté","Civilité, ni savoir, ni amour"
Ched ella gli degniasse pur parlare.,qu'elle lui daigne juste parler.,Que vous l'acceptiez de parler.
"Se puo’ per quel camin trovar   passagio,",si ce chemin peut trouver un passage,si ce chemin peut trouver un passage
"Tu•ssì abattera’ tosto il castello,",Tu vas bientôt abattre le château.,Tu vas démolir le manoir rapidement.
"Bellacoglienza trarà’ di servagio,",Beau accueil sortira de la servitude,La libération de l'esclavage
"Non vi varrà gittar   di manganello,",Il ne vous sera pas utile de lancer des matraques,Il ne vous sera pas utile de jeter des bâtons.
"Néd a le guardie lor folle musagio,",Ni à leurs gardiens fous d'amusement,Ni à leurs gardiens sauvages de joie
"Porte, né mura, né trar   di quadrello.","Portes, ni murailles, ni tirs de quadreau","Portes, ni murailles, ni lève-toi de poteaux"
"Or sì•tt’ò detto tutta la sentenza,","Maintenant, toute la sentence est prononcée.",L'arrêt est maintenant rendu dans son intégralité.
Di ciò che•ssagio Amante far   dovria.,de ce qu'un amant sage devrait faire:,de ce qu'un amoureux sage devrait faire
"Così l’amor di lor guadagnieria,",ainsi l'amour leur gagnera,"Un grand bonheur en conséquence, l'affection leur apportera une grande joie."
"Sanz’aver mai tra•llor malivoglienza,",Sans avoir d'amitié entre eux,Sans avoir une relation d'amitié entre eux.
"Se mai trai di pregion Bellacoglienza,","Si tu libères Bell de la prison,","Il sera très heureux si vous innocentez Bell de la prison, il sera extrêmement heureux."
"Sì fa che•ttu ne tenghi questa via,",Fais que tu gardes cette voie.,Suivre ce cap
"Od altri menti mai non t’ameria,","Sinon, il ne t'aimerait jamais.","Si ce n'est pas le cas, il n'aura jamais d'affection."
Che ch’ella ti mostrasse in aparenza.,Qu'il te montre en apparence,Qu'il te prouve extérieurement
"E dàlle spazio di poter andare,",Et lui donner la liberté de partir.,Lui donner la faculté de bouger.
"Colà, dove le piacie, per la villa;",partout où vous aimez la ville;,partout où vous l'aimez dans la ville.
Pena perduta seria   in le’ guardare:,la peine de regarder serait perdre,la punition d'observer serait dissiper
Ché•ttu teresti più tosto un’anguilla,Parce que tu garderais un anguille plus serré.,Parce que tu retiens plus fermement une anguille.
"Ben viva per la coda, e fossi in mare,","bien vivante par la queue, même si vous étiez en mer,","Bien accueillis pour la flottille, même si vous étiez dans l'océan."
"Che non faresti femina, che ghilla».","Qu'est-ce qu'une femme ne ferait pas, idiote ?","Ce qu'une femme ne ferait pas, idiote."
"Così mi confortò il buon Amico,",C'est ainsi que mon bon ami m'a réconforté.,C'est ainsi que mon cher ami m'a encouragé.
"Po’•ssi partì da me, sanza più dire.",Puis il est parti sans un autre mot.,"Plus tard, il s'éloigna sans commentaires supplémentaires."
"Allor mi comincià’ fort’ a giechire,","À ce moment - là, j'ai commencé à être très humble.","À ce moment - là, j'ai commencé à être très humilié."
"Ver’ Mala-Bocca, il mi’ crudel nemico;","vers Malabocia, mon ennemi cruel.","Vers Malabocia, mon adversaire impitoyable."
"Lo Schifo i’ sì pregiava   men ch’un fico,",Je me foutais de la Résistance.,Je me foutais de la Résistance.
Ch’egli avea gran talento di dormire;,qui avait un grand désir de dormir;,qu'il avait une forte envie de se reposer.
Vergognia si volea ben sofferire,Modernité voulait vraiment s'abstenir,L'humilité désirait sincèrement renoncer
"Di gueregiarmi, per cierto vi dico,","Pour m'avoir combattu, je te le dis.","Pour t'avoir défié, je te le promets."
"Ma’ e’ v’era Paura, la dottosa,","Mais il y avait la peur, le craintif,","l'inquiétude Il y avait l'anxiété, le peur, l'angoisse."
"C’udendomi parlar tutta tremava,","qui, m'écoutant parler, tremblait partout:","qui, en m'écoutant parler, frémissait dans tout son être"
"Quella nonn-era punto dormigliosa,",qu'on n'était pas endormi du tout;,que l'on était tout à fait éveillé.
"In ben guardar il Fior molto pensava,","elle a pris beaucoup de soin de garder la Fleur,",La conservation de la Fleur a fait l'objet d'une attention particulière.
"Vie più che•ll’altre guardi’ era curiosa,","et elle était plus curieuse que les autres gardes,",Elle était plus inquisitrice que les autres gardes.
Perciò che ben in lor non si fidava.,Depuis qu'il ne leur faisait pas confiance.,Depuis qu'il n'avait pas confiance en eux.
"Intorno dal castello andai ciercando,",Tout autour du château je suis allé chercher,"Autour du château, j'ai cherché quelque chose."
"Sed i’ potesse trovar quel’entrata,",Si je pouvais trouver cette entrée,Si je pouvais trouver cette porte d'entrée
"La qual Folle-Largheza avea fondata,",qui Forte-Largeza avait fondé,La puissance-Vasteté qu'il avait fondée.
"Per avacciar ciò, che giva pensando.",pour accélérer ce que je pensais.,Accélérer ce que je pensais.
"Allor guardai, e sì vidi onbreando","Puis j'ai regardé, et j'ai vu dans l'ombre.",Alors j'ai regardé dans les ténèbres.
"Di sotto un pin una donna pregiata,","sous un pin, une femme digne,","A côté d'un sapin, une femme digne."
"Sì nobil mente vestita e parata,",si noble habillée et ornée,Tellement magnifiquement attirée et décorée.
Che tutto ’l mondo gìa di lei parlando.,que le monde entier parlait d'elle.,que toute la terre en parlait.
"E sì avea in sé tanta beleza,",et elle avait en elle tant de beauté,et possédait une grande magnificence
Che tutto intorno lei aluminava,qui a tout éclairé autour d'elle,qui a tout risqué autour d'elle
"Chol su’ visagio, tanto avea chiareza.","avec son visage, il avait tellement de clarté;","Avec son visage, il avait beaucoup de luminosité."
Ed un suo amico co•llei si posava.,et un de ses amis qui était avec elle,et un de ses compagnons qui était avec elle
"La donna si avea nome Richeza,",La femme s'appelait Richeza.,"La dame avait l'appellation ""Richeza."""
Ma•llui non so com’altri l’apellava.,Mais je ne sais pas comment il s'appelait.,"Cependant, il ne savait pas comment il s'appelait."
"Col capo inchino la donna salutai,",J'ai dit au revoir à la femme qui avait la tête baissée.,J'ai dit au revoir à la dame avec le chef chino.
E sì•lla cominciai   a domandare,Et j'ai commencé à lui demander,J'ai commencé à vous interroger.
"Del camin, c’uomo apella Tropo-Dare.",du sentier appelé Tropo-Dare.,du chemin qui s'appelle Tropo-Dare.
Quella rispose: «Già per me no ’l sai,Elle répondit: Tu ne le sauras pas de moi;,Elle répondit: Tu ne l'apprendras pas de moi.
"E, se ’l sapessi, già non vi ’nterrai,","Et si tu le savais, tu n'entrerais jamais,","Et si tu le connaissais, tu ne franchirais jamais le seuil."
Chéd i’ difendo a ciaschedun l’entrare,"parce que j'interdis l'entrée de tous,",parce que j'interdis l'accès à chacun.
Sed e’ nonn-à che spender e che dare.,Mais vous devez dépenser et donner.,Il faut débourser et relâcher.
"Sì farai   gran saver, se•tte ne vai:","Donc, si tu es intelligent, tu t'en vas,","Par conséquent, si vous êtes sagace, partez."
"C’unquanche non volesti mi’ acontanza,",Si jamais tu ne veux pas de ma compagnie,Si jamais tu ne veux pas que je sois là.
Né mi pregiasti mai  a la tua vita.,Tu ne m'as jamais félicité dans ta vie.,Tu ne m'as jamais félicité dans ton existence.
"Ma or ne prenderò buona vengianza,","Mais maintenant, je vais prendre ma douce vengeance:",Je vais m'imposer ma douce vengeance.
"Ché, sie ciertano, se•ttu m’ài   schernita,","afin que vous soyez certains que vous m'avez méprisé,","Je ne le rendrai pas pour que vous soyez sûrs si vous m'avez méprisé, je ne le rembourserai pas."
"I’ ti darò tormento e malenanza,","Je te tourmenterai et te châtierai,",Je t'affligerai et je te rendrai triste.
Sì ch’e’ me’ ti varia avermi servita».,Ce serait mieux pour vous de m'avoir servie.,qu'il serait plus avantageux pour vous de m'avoir assistée
"«Per Dio, gientil madonna, e per merzede»,","Pour l'amour de Dieu, gentille dame, et pour la miséricorde,","Pour le Seigneur, gentille dame, et par compassion."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Je lui ai dit alors, si je t'ai fait du mal,","Je suis désolée, je lui ai dit plus tard, si je t'ai offensé, je suis désolée."
Ched e’ vi piaccia ched e’ sia amendato,"Ce que vous aimez, ce qui est correct","Ce que tu aimes, ce qui est juste."
"Per me, chéd i’ ’l farò a buona fede:","pour moi, parce que je le ferai de bonne foi.","Pour moi, car je le ferai avec sincérité."
"Ch’i’ son ciertan, che ’l vostro cuor non crede",Parce que je suis sûr que votre cœur ne croit pas,Parce que je suis sûr que votre cœur n'accepte pas
"Com’io dentro dal mio ne son crucciato,","Comme dans le mien, j'en suis affligé.","en tant qu'intérieur de mon être, je me sens affligé."
"Ma quando vo’ m’avrete ben provato,",Mais quand tu me testeras,Quand vas-tu me soumettre à la vérification ?
"E’ sarà cierto di ciò, c’or non vede.",Et il sera certain de ce qu'il ne voit pas maintenant.,Vous serez absolument certain de ce qui n'est pas visible en ce moment.
"Per ch’i’ vi priego, che mi diate il passo,","C'est pourquoi je vous en prie, laissez-moi passer.","Je t'en supplie, laisse-moi passer."
Ched i’ potesse abatter il castello,Pour que je puisse abattre le château.,"De cette façon, je peux démolir le manoir."
"Di Gielosia, che m’à sì messo al basso».","de jalousie, qui m'a déposé.","D'envie, qui m'a abattu."
Quella mi disse: «Tu•ssè mio ribello:,"Il m'a dit: ""Tu es mon ennemi;","Il m'a dit: ""Tu es mon adversaire;"
"Per altra via andrai, ché sarà’ lasso","le long d'un autre chemin, tu iras, car tu seras épuisé.","dans une autre voie, tu iras, car tu seras épuisé."
Inanzi che n’abatti un sol crinello».,avant d'abattre un seul merle de la tour,Avant de démolir une seule pierre de la tour
"Già no•mi valse nessuna preghera,",Je n'ai fait aucune prière.,Je n'ai pas prié.
"Ched i’ verso Richeza far potesse,","que j'aurais pu faire vers Richeza,","que je lui étais redevable que j'aurais pu offrir à Richeza, étant donné ma dette envers elle."
"Ché poco parve ch’e’ le ne calesse,","parce qu'elle semblait s'en soucier peu,","Elle décida de partir, car elle semblait indifférente, et elle décida de partir."
