Original,Translate_es_1,Translate_es_2
"Una nel ciento non fu mai veduta,",Una de cada cien mujeres nunca ha sido vista.,Aproximadamente una de cada cien personas nunca recibió atención.
"Ed ancor più che ’l miglia’ ci ti metto,","O mejor dicho, apuesto una de cada mil.",Apostaré una de cada mil
"Femina, chu’ piaciesse tal disdetto.",Mujer que te gustó ese rechazo.,Una mujer que no quisiera ese rechazo.
"Come ch’ella t’asalgha di venuta,",Aunque podría atacarte al principio.,Aunque podría obstruirte al principio.
"Richié’, c’almen n’avrà’ su’ ben volere,","Richié, al menos nos tendrá su benévolo consentimiento.","Richié, al menos nos tendrá su benévola aprobación."
"Con tutto ti vad’ella follegiando,","Aunque podría decir cosas absurdas sobre ti,","No le respondas aunque puedas decir afirmaciones inverosímiles sobre ti, no respondas."
Ché•ttu no•le puo’ far magior piaciere.,Porque no puedes hacerle un favor más grande.,Porque no puedes hacerle una oferta más generosa.
"Ma di ciò non dé gir nessun parlando,","Pero nadie tiene que decir nada al respecto,",Nadie debería decir nada al respecto.
"S’e’ ’n averla non mette su’ podere,","Si falla en su búsqueda de tenerla,",Si no lo consigue en su búsqueda.
Chéd ella se ne va dapoi vantando.,¿Por qué más tarde va por ahí jactándose?,¿Por qué va a dar vueltas con orgullo?
"E quando tu•ssarai co•llei soletto,","Y cuando estés a solas con ella,","Recuerda ser amable Y cuando estés solo con ella, recuerda ser cortés"
"Prendila tra•lle braccia, e fa ’l sicuro,",Tómala en tus brazos y hazlo con valentía.,Abrázala con ardor y hazlo sin vacilar.
"Mostrando allor se•ttu•ssè forte e duro,","Mostrando entonces que eres fuerte y duro,","Tendrás tu recompensa Demostrando entonces que eres vigoroso e inquebrantable, tendrás tu ganancia."
E mantenente le metti il ganbetto.,e inmediatamente le das el gancho.,"Y ahora, enséñale el gancho."
Né no•lla respittar già per su’ detto:,No le des un respiro por lo que dice:,No lo perdones por lo que dices.
"S’ella chiede   merzé, chegala al muro.","Si pide misericordia, pida en vano.","Si pide clemencia, invoque innecesariamente."
"Tu•lle dirai: “Madonna, i’ m’assicuro","Tú le dirás: ""Virgen, me aseguro.""","Tú le dirás: ""Gracias a Dios, me garantizo."""
"A questo far, c’Amor m’à•ssì distretto","para hacer esto, que el amor me atrapó","para hacer esto, que el afecto me ha embrujado tanto"
"Di vo’, ched i’ non posso aver sogiorno.","contigo, para que no tenga paz;","contigo, para que no pueda conocer la serenidad;"
Per ch’e’ convien che vo’ agiate merzede,¿Por qué estás de acuerdo en que tú eres misericordioso?,¿Por qué crees que es conveniente que muestres clemencia?
"Di me, che tanto vi son ito intorno.",de mí que tanto he estado a su alrededor,de mí que tanto estuve cerca
"Ché•ssiate cierta ched i’ v’amo a fede,",Que estés segura de que te amo fielmente,Que estén absolutamente seguros de que los amo devotamente.
"Né d’amar voi giamai non mi ritorno,","y que nunca dejaré de amarte,",Y nunca dejaré de sentir afecto por ti.
Ché per voi il me’ cor salvar si crede”.,que para vosotros mi corazón se salvará,que para vosotros mi afecto se guardará
"E se•ttu ami donna ferma e sagia,","Y si amas a una mujer constante y sabia,","Si usted aprecia a una mujer fiel y sabia, trate de imitarla."
"Ben sagia   mente e fermo ti contieni,",Actúa con sabiduría y constancia;,Actúa con prudencia y perseverancia.
"C’avanti ch’ella dica: “Amico, tieni","para antes de que ella diga: ""Amigo, toma.""","¡Antes de que ella me exclame, tío, toma!"
"Delle mie gioie”, più volte t’asagia.","de mis alegrías, muchas veces te he puesto","en guardia de mi felicidad, muchas veces te he amonestado"
"E se•ttu ami femina volaggia,","Y si amas a una mujer voluble,","No esperes que sea estable Y si amas a una mujer variable, no esperes que se vuelva constante."
"Volagia   mente davanti le vieni,","venir antes que ella de una manera voluble,",Preséntala con prontitud.
"E tutt’a la sua guisa ti mantieni,",y te mantienes en tu manera,Y actúas como quieras.
"Od ella ti terrà bestia salvaggia,",O ella te considera una bestia salvaje,O ella te considera un animal salvaje.
"E crederà che•ttu sie un papalardo,",y creer que no eres un hipócrita.,y confiar en que no eres un fingidor.
Che sie venuto a•llei per inganarla.,que viniste a ella para engañarla,que viniste a verla para molestarla.
"Chéd ella il vol pur giovane e galliardo,",Porque ella quiere a alguien que es joven y robusto.,Porque quiere a alguien joven y vigoroso.
"La buona e•ssagia,   ma di ciò non parla",Una mujer buena y sabia nunca habla de esto;,Una dama benévola y experta nunca menciona esto.
"Anz’ama più l’uon fermo che codardo,","De hecho, ama a un hombre determinado más que a un cobarde,","De hecho, ama a un hombre decidido más que a un cobarde."
Ché non dotta che que’ faccia blasmarla.,¿Por qué no sabes lo que te culpará?,¿Por qué no sabe lo que le dará reprensión?
"Ancor convien che•ttu saccia ’lcun’arte,",Mejor aún que usted sabe algunas reglas,Conocer algunos principios es aún mejor
Per ghovernar e te e la tu’ amica:,para gobernarte a ti y a tu amiga:,presidir sobre ti y tu amiga
"Di buon’ morselli tuttor la mi notrica,","Todavía la alimentan de bocados tiernos,","de palabras de amor nutrila otra vez con bocados amables, de palabras de afecto"
E dàlle tuttavia la miglior parte.,y darle siempre la mejor parte.,y darle siempre la parte más preciada.
"E s’ella vuol andar i•nulla parte,","Y si quiere ir a algún lado,","debe tomar un autobúsSi desea ir a algún lugar, debe utilizar un autobús."
"Sì•lle dì: “Va, che Dio ti benedica!”.","Dile: Id, y que Dios os bendiga.","Dile: Partid, y que Dios os conceda Su bendición."
In gastigarla non durar fatica,"No pierdas tu tiempo regañándola,",No inviertas tu valioso tiempo en regañarla.
Se dal su’ amor non vuo’ tagliar le carte.,A menos que quieras terminar la relación.,A menos que quieras interrumpir la conexión.
"E se•lla truovi l’opera facciendo,",Y si descubres que hace el amor...,Y si resulta que hace el amor...
Non far senbiante d’averla veduta:,No dejes que la veas.,No dejes que se te escape de los ojos.
In altra parte   te ne va fugiendo;,Y en otra parte te vas huyendo,"Y en otra parte, te estás alejando."
"E se•lle fosse lettera venuta,",y si la carta hubiera llegado,tarde si la carta hubiera llegado tarde
Non t’intrametter d’andar inchegiendo,No se preocupa por ir a preguntárselo.,No se preocupa por preguntárselo.
"Chi•ll’à recata, né chi la saluta.","que ha venido, ni al que saluda","que ha visitado, ni de quién saludar"
"S’a scachi, o vero a•ttavole, giocassi",si juegas al ajedrez o a la mesa real,si juegas al ajedrez o un juego de damas
"Co•lla tua donna, fa c’agie il pigiore","con tu señora, asegúrate de que","Contenta con tu esposa, asegúrate de que sea feliz."
"Del gioco, e dille ch’ell’è la migliore",y dile que ella es la mejor del juego,y dile que ella es la más excelente del juego
"Dadi-gittante, che•ttu mai trovassi.",datos gigantes que nunca vi,grandes masas de información que nunca había visto
"S’a coderon giocaste, pignia anbassi,","Y si juega coderon, lanza occh,","Y si juega coderon, tire dados."
E fa ched ella sia là vincitore.,Y haz que ella sea el ganador.,Y hazla triunfadora
"Della tua perdita non far sentore,",No hagas sentir tu pérdida.,No hagas sentir tu ausencia.
Ma che cortesemente la ti passi.,¿Qué clase de cortesemne te pasa?,Por la buena idea de la cabeza está pasando por tu mente.
"Falla seder ad alti, e•ttu sie basso,","Siéntala en un lugar alto, y tú abajo,","Siéntese en un lugar alto, y usted en posición más baja."
"E sì•ll’aporta carello, o cuscino:",y lleve una carretilla y una almohada;,Y consigue un carro y una almohada.
Di le’ servir non ti veghi mai lasso.,Nunca le permitió verte cansado de servirla.,Nunca le permitió ver su esfuerzo por servirle.
"S’adosso le vedessi un buscolino,",Si tuviera que ver un punto en ella...,Si encontrara una mancha en ella...
"Fa che glie•levi, e se vedessi sasso,","Asegúrese de cepillarlo lejos, y si usted debe ver una piedra",Asegúrate de cepillarlo y si veo una piedra.
"Là ’v’ella dé passar, netta ’l camino.","donde tiene que caminar, cepilla el sendero.","donde debe proceder, barrer la pista."
A sua maniera ti mantien tuttora:,"A su manera, todavía te mantiene",De una manera peculiar aún te mantiene
"Che s’ella ride, ridi, o balla,   balla,","Si ella se ríe, tú te ríes, o si ella baila, tú bailas.","Si ella se alegra, tú celebras, o ella baila, tú desata."
"O s’ella piangie, pensa   a consolalla,","Y si llora, piensa y consuela,","Y si derrama lágrimas, piensa y asegúrate."
Ma fa che pianghe tu sanza dimora.,Pero asegúrate de llorar sin demora.,Asegúrate de llorar sin demora.
"E se con altre done fosse ancora,",y si con otras mujeres todavía está,y si con otras damas todavía estuviera
"Che giocasero al gioco della palla,",que jugaran al juego de la pelota,Que se diviertan con el juego de la pelota.
"S’andasse lungi, corri ad aportalla.","Debería ir lejos, cohorte que lo traiga de vuelta a ella:","Debería alejarse, pero volver a acercarse a ella."
A•lle’ servir tuttor pensa   e lavora.,Siempre piensa que la sirve y trabaja.,Siempre reflexiona sobre cómo servirle y trabaja duro.
"E se vien alcun’ or   ch’ella ti tenza,",Y si llega el momento de pelear contigo...,Si llega el momento de pelear contigo...
"Ch’ella ti crucci sì, che•ttu le dài,","o cuando te enfada tanto que la golpeas,",O cuando te enfada tanto que la golpeas.
"Imantenente torna ad ubidenza,","Vuelve enseguida a obedecerlas,",Vuelve a obedecerlas de inmediato.
"E giurale che ma’ più no ’l farai,",Y prométele que no volverás a hacerlo.,Prométele que no volverás a cometer el mismo error.
Di quel ch’ài   fatto farai   penitenza:,Vas a hacer penitencia por lo que hiciste.,Vas a responder por tus acciones.
"Prendila e falle il fatto, che•tti sai.",¡Cogedla y hacedle lo que hagáis mejor!,¡Tómala y haz lo que mejor sabes hacer!
"Sovr’ognie cosa pensa di lusinghe,","Piensa en todas las halagas,",Que has recibido Piensa en todos los cumplidos que has recibido.
"Lodando sua maniera, e sua fazone,","Alabando sus modales y su apariencia,","su belleza fue apreciada por su bondad y su encanto, su aventura fue reconocida."
"E che di senno passa Salamone,",Y como pasa Salomón con sabiduría;,y cómo Salomón procede sabiamente.
Con questi motti vo’ che•lla dipinghe.,Con estas palabras quiero que la describas.,Con estas palabras deseo que la expliques.
Ma guarda non s’avega che•tti’nfinghe,No sabía que estabas fingiendo.,Pero no sabía que estabas fingiendo.
Ché non v’andresti mai a prociessione:,¿Por qué nunca irías a la procesión?,¿Por qué no te unes al desfile?
Non ti varebe lo star ginochione.,Y no necesitas estar de rodillas.,Y no te vendría bien arrodillarte.
"Però quel lusinghar fa che tu ’l tinghe,","Pero ese halago hace que lo tires,",Pero ese adulador te hace tenerlo en gran estima.
"Chéd e’ n’è ben alcuna sì viziata,",Porque no hay nadie tan malcriada.,Porque no hay nada tan corrupto.
Che non crede giamai ta’ favolelle,"que nunca cree en esas historias,",que nunca cree en tales narraciones
Per c’altra volta n’è stata   beffata;,Porque una vez la habían engañado.,porque una vez la habían engañado
"Ma queste giovanette damigielle,",Pero estas jóvenes damas de honor,Pero estas jovencitas
"Chu’ la lor terra non n’è stata   arata,",que su tierra no ha sido arada,que su tierra no ha sido cultivada
Ti crederanno ben cota’ novelle!,Te crimarán bien en estas novelas.,te darán la bienvenida con estos cambios
"Se•ttu ài altra amica procacciata,",si tienes otra amiga con la que trabajar.,"Si tienes otra amiga, consíguela."
"O ver che•ttu la guardi a procaciare,","O que la mires para conseguirla,","o que quieras comprarla O que la observes para adquirirla, o que quieras comprarla"
E sì non vuo’ per ciò abandonare,Y no quieres que te vayas.,la esperanza y no se quiere renunciar a la expectativa
"La prima, chu’ à’ lungho tenpo amata,",la primera que amaba por mucho tiempo,La primera que fue muy cara.
"Se•ttu a la novella à’ gioia donata,",si tú has dado alegría a la nueva,Parejas tú has hecho feliz a la joven pareja
Sì dì ch’ella la guardi di recare,Dile que la mires y la traigas de vuelta.,la armoniadile que la mire para restablecer el equilibrio
"In luogo, ove la prima ravisare",en un lugar en el que la primera,en un lugar donde la primera percepción
"No•lla potesse, ché seria ’smenbrata.","No podría hacerlo, porque estaría destrozada.","No podría hacerlo, porque estaría devastada."
"O s’ella ancor ne fosse in sospezone,",o si aún es sospechosa.,o si sigue siendo dudosa
"Fa saramenta ch’ella t’aggia torto,",Asegúrate de que se equivoque.,Haz que se equivoque pacíficamente
C’unque ver’ lei non fosti in mesprigione;,Cualquiera que no estuviera en desprecio hacia ella,Cualquiera que no le mostrara desdén
"E s’ella il pruova, convien che sie acorto","Y si lo prueba, será mejor que tenga cuidado.","Y si los hace, será mejor que esté alerta."
"A dir, che forza fu, e tradigione:","a decir, qué fuerza fue, y traición","a contar, qué vigor y astucia fueron usados, e infidelidad."
Allor la prendi e sì•lle innaffia l’orto.,Entonces la coges y ella regala el huerto.,Entonces tómala y regílala en el huerto.
"E se•ttua donna cade in malatia,",y si tu mujer cae en la enfermedad,y si tu esposa cae enferma
"Sì pensa che•lla faccie ben servire,","Asegúrese de que ha servido bien,",Asegúrate de que hayas prestado bien.
Né•ttu da•llei giamai non ti partire.,Y tú nunca te alejarás de ella.,Y tú nunca te separarás de ella.
"Dàlle vivanda, c’a piacier le sia,","Dale comida, que le guste.","Provee comida, que le guste."
"E po’ sì•lle dirai: “Anima mia,","Y luego le dirás: ""Alma mía,","Eres la luz de mi vida""y luego le dirás: ""Querida alma, tú eres el resplandor de mi existencia."""
Istanotte ti tenni in mio dormire,"Anoche, en mi sueño, te mantuve.",En mi sueño te he abrazado con fuerza
"Intra.lle braccia sana, al me’ disire:","en mis brazos sanos, a mi deseo:","en mis brazos saludables, a mi anhelo."
"Molto mi fecie Idio gran cortesia,",Dios me hizo un gran favor.,Dios me mostró una gran bondad.
Che mi mostrò sì dolze avisione”.,que me mostró una visión tan dulce.,que me dio una perspectiva tan tierna.
"Po’ dica, ch’ella l’oda, come sagio,","Entonces diga, que usted lo escuche, como un sabio,","Luego dices que lo escuchas, como un sabio."
"Che per lei fara’ far gran prociessione,",que va a hacer una gran procesión para ella,que va a hacer un gran desfile para ella
"O•ttu n’andra’ in lontan pellegrinagio,","o que vayas a una larga peregrinación,","o que te quedes en casa independientemente de si te vas en un viaje prolongado, o te quedas en tu casa"
Se Giesocristo le dà guerigione.,si Jesucristo la cura.,Si Jesucristo la sana.
"Così avrai il su’ amor, e ’l su’ coragio».",Así tendrás su amor y su coraje.,"De esta manera, obtendrás su afecto y su intrepidez."
"Quand’ebi inteso Amico, che leale","Cuando me enteré Amigo, que fiel","Cuando escuché a Amigo, que me había sido leal"
"Consiglio mi dava, a su’ podere,","Me daba consejo, en su poder","Me daba consejos, lo mejor de su capacidad."
"I’ sì•lli dissi: «Amico, il mi’ volere","Le dije: ""Amigo, mi voluntad.""","Es tu ley Le dije: Camarada, mi deseo es tu regla."
"Non fu unquanche d’esser disleale,",Nunca debió ser desleal.,Nunca debió ser infiel.
"Né piaccia a Dio, ch’i’ sia condotto a tale,",No le guste a Dios que yo sea conducido a tal,¡Nunca me induzcan a hacer esto!
"Ch’i’ a le gienti mostri benvolere,",que demuestro bondad a la gente,que yo manifiesta cortesía a la gente
"E servali del corpo, e dell’avere,",y siervos del cuerpo y del tener,y siervos del cuerpo y de la posesión
Ched i’ pensase poi di far lor male.,Y luego pensé que les haría daño.,Más tarde pensé en hacerle daño.
Ma sòffera ch’i’ avante disfidi,"Pero antes que nada, déjenme desafiar.","En primer lugar, permítanme desafiar."
"E Mala-Bocca, e tutta sua masnada,","Malabocia y toda su pandilla,",Malabocia y sus compañeros han desaparecido.
"Sì che neuno in me giamai si fidi,",Que nadie en mí nunca confíe en mí,Que nadie en mí se confíe jamás
Po’ penserò di metterli a la spada».,Entonces pensaré en ponerlos a la espada.,Entonces pensaré en desafiarlos con la espada.
"Que’ mi rispuose: «Amico, mal ti guidi:","Y me dijo: ""Amigo, te equivocas:","que me dijo: ""Compañero, pero te equivocas:"
Cotesta sì nonn-è la dritta strada.,Este no es el camino correcto.,Este no es el camino adecuado.
"A te sì non convien far disfidaglia,","A ti no te conviene hacer este desafío,",A ti no te conviene hacer frente a esta prueba
Se•ttu vuo’ ben civir di questa guerra.,Si quieres acabar bien con esta guerra.,Si usted desea concluir con razón esta cuestión.
"Lasciala far a’ gran’ signior’ di terra,",Déjala a los grandes amos de la tierra,Déjala a los supremos señores de la tierra.
Che posson soferir oste e battaglia.,¡que pueden permitirse el ejército y las batallas!,¡Que se dan el lujo del ejército y de las escaramuzas!
"Mala-Bocca, che così ti travaglia,","Malabocia, que te atormenta,","Es algo que no dura Maldición, que te angustia, es una situación que no persiste."
È traditor: chi ’l tradiscie non erra.,es un traidor: el que le traiciona no se equivoca;,Es un infiel: quien lo deserta no comete ningún error.
"Chi con falsi senbianti no•ll’aferra,","quien no lo atrape con apariencias falsas,","lo conquista con las buenas acciones, no lo seduce con engaño, lo vence con gestos benévolos"
Il su’ buon giocho mette a ripentaglia.,pone en peligro su buen juego.,Pone en peligro su éxito.
"Se•ttu lo sfidi, o batti, e’ griderà,","Si le desafía o le golpea, gritará,","Si le retas o le atacas, gritará."
Chéd egli è di natura di mastino:,Porque es de naturaleza mastín,porque él es de naturaleza canina
"Chi più ’l minaccia, più gli abaierà.","Quien más lo amenaza, más le ladrará","Cuanto más lo amenaza, más rugirá contra él"
"Chi Mala-Bocca vuol metter al chino,",Quien quiera conquistar Malabocia,Se enfrenta a un gran desafío Quienquiera que ambiciona ganar Malabocia se enfrenta a una enorme prueba.
"Sed egli è sagio, egli•lusingherà:","le halagará, si es sabio,","Lo adulará, si es prudente."
Ché cierto sie quell’è ’l dritto camino».,Que esté seguro de que es el camino correcto.,que sea incuestionable que es el camino adecuado.
"«Po’ mi convien ovrar di tradigione,","""Entonces me conviene trabajar con la tradición,","si quiero que esto se haga""Entonces, proceder según la costumbre es necesario si deseo que se lleve a cabo la tarea."
"E a•tte pare, Amico, ch’i’ la faccia,","Y a ti te parece, amigo, que yo lo hago,","¿Mi parte? ¿Te parece, camarada, que cumplo con mi deber?"
"I’ la farò,   come ch’ella mi spiaccia,","Lo haré, como si no me gustara.","Lo haré, a pesar de mi aversión."
Per venir al di su di quel cagnione.,Para ir por encima de ese perro.,Para prevalecer sobre ese perro
"Ma sì•tti priego, gientil conpagnione,","Pero por favor, camarada,","Te suplico, amigo mío, que vuelvas."
"Se•ssai alcuna via, che•ssia più avaccia,","Si hay algún camino, que sea más rápido.",Si hay una ruta más rápida
"Per Malabocca e suo’ metter in caccia,",para cazar Malabocia y los suyos,seguidores de expiller Malabocia y sus acólitos
"E trar Bellacoglienza di pregione,",Y liberar a Bell de la recepción de la prisión,Emancipar Hermosa acogida de detención
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,",Que me lo enseñes y yo iré.,Que me lo muestres y yo iré.
"E menerò   comeco tal aiuto,",y traeré tal ayuda inicial.,y daré tal apoyo inicial
Ched i’ quella forteza abatterò».,¿Por qué besaré esa fortaleza?,Porque esa fortificación se derrumbará.
"«E’ nonn-à guari ch’i’ ne son venuto»,","""No hace mucho que vine de allí,""",No hace mucho que he venido de ese lugar.
"Rispuose Amico, «ma ’l ver ti dirò,","Respondió el Amigo, pero yo te diré la verdad,","contestó su amigo, pero yo te expresaré la realidad."
"Che•ss’i’ v’andai, i’ me ne son pentuto.","que si fui, me arrepentí.","que si viajé, me arrepiento"
"S’uom apella il camin Troppo-Donare,",Si un hombre llama a la chimenea Demasiado-Donar,Si un hombre nombra el hogar generosamente-regalar.
"E’ fu fondato per Folle-Largheza,",fue construido para Loco-Largheza,Fue edificado por desprestigio.
"L’entrata guarda madonna Richeza,",la entrada mira Madonna Riqueza,"El vestíbulo, Sra. Abundancia."
"Che non i lascia nessun huon passare,",Que no deja pasar a ningún hombre,Que no permite que ningún hombre cruce.
"S’e’ nonn-è su’ parente, o su’ conpare,","Si no es su pariente, o su compañero",", no es bienvenidoSi no es su prójimo, o su compañero, no es bienvenido."
"Già tanto nonn-avrebe in sé belleza,","No importa la belleza que tenga,","no es una razón suficienteNo importa lo atractivo que sea, no es la motivación adecuada."
"Cortesia, né saver, né gientileza,","Cortesía, ni conocimiento, ni bondad","Civilidad, ni saber, ni amabilidad"
Ched ella gli degniasse pur parlare.,Que ella sólo le dignaba hablar.,Que ella sólo lo consiente en hablar.
"Se puo’ per quel camin trovar   passagio,",si puede ese camino encontrar un pasaje,si puede ese camino encontrar un paso
"Tu•ssì abattera’ tosto il castello,",Derribarás el castillo pronto.,Derribarás la mansión rápidamente.
"Bellacoglienza trarà’ di servagio,",Hermosa acogida sacará de la servidumbre,Liberación de la esclavitud
"Non vi varrà gittar   di manganello,",No le será útil lanzar porras,No les servirá de nada tirar palos.
"Néd a le guardie lor folle musagio,",Ni a sus guardias locos diversión,Ni a sus guardianes salvajes gozo
"Porte, né mura, né trar   di quadrello.","Puertas, ni muros, ni tirar de cuadros","Puertas, ni murallas, ni levas de valla"
"Or sì•tt’ò detto tutta la sentenza,",Ahora se dice toda la sentencia,Ahora se dicta toda la sentencia.
Di ciò che•ssagio Amante far   dovria.,de lo que un sabio amante debe hacer:,de lo que un sabio aficionado debe hacer
"Così l’amor di lor guadagnieria,",Para que el amor les gane,"Una gran felicidad en consecuencia, el afecto les traerá un gran gozo"
"Sanz’aver mai tra•llor malivoglienza,",Sin tener amistad entre ellos,Sin tener una relación de amistad entre ellos.
"Se mai trai di pregion Bellacoglienza,","Si liberas a Bell de la prisión,","Será muy feliz si absuelves a Bell de la prisión, estará muy contento."
"Sì fa che•ttu ne tenghi questa via,",Haz que mantengas este camino.,Siga esta ruta
"Od altri menti mai non t’ameria,","Si no, nunca te amaría.","De lo contrario, nunca se sentiría afectuoso con él."
Che ch’ella ti mostrasse in aparenza.,Que él te mostrara en apariencia,Que él te demostrara exteriormente
"E dàlle spazio di poter andare,",Y darle la libertad de irse.,Concederle la facultad de moverse.
"Colà, dove le piacie, per la villa;",dondequiera que le guste en la ciudad;,Dondequiera que las agarre en la ciudad.
Pena perduta seria   in le’ guardare:,la pena de mirar sería perder,el castigo de observar sería disipar
Ché•ttu teresti più tosto un’anguilla,¿Por qué te aferras a una anguila?,¿Por qué sostienes más firmemente una anguila?
"Ben viva per la coda, e fossi in mare,","bien viva por la cola, aunque estuvierais en el mar,","Bienvenidos a la flotilla, aunque estuvieran en el océano."
"Che non faresti femina, che ghilla».","¿Qué no haría una mujer, tonta?","Lo que una mujer no haría, sin sentido."
"Così mi confortò il buon Amico,",Así que me consoló el buen amigo,De esta manera mi querido amigo me animó.
"Po’•ssi partì da me, sanza più dire.",Y luego se fue sin otra palabra.,"Más tarde, se alejó sin más comentarios."
"Allor mi comincià’ fort’ a giechire,",Entonces empecé a ser muy humilde.,Entonces empecé a sentirme muy humillado.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","A Malabocia, mi cruel enemigo.","Hacia Malabocia, mi despiadado adversario."
"Lo Schifo i’ sì pregiava   men ch’un fico,",No me importaba la Resistencia.,No me importaba la Resistencia.
Ch’egli avea gran talento di dormire;,que tenía un gran deseo de dormir;,Que tenía un fuerte deseo de descansar.
Vergognia si volea ben sofferire,Modestia realmente quería abstenerse,La humildad deseó sinceramente renunciar
"Di gueregiarmi, per cierto vi dico,","Por pelear conmigo, te lo digo.","Por desafiarte, te lo prometo."
"Ma’ e’ v’era Paura, la dottosa,","Pero estaba el miedo, el temeroso,","la preocupación había ansiedad, el temeroso, la preocupación."
"C’udendomi parlar tutta tremava,","Que, al escucharme hablar, temblaba por todas partes:","Que, al escucharme hablar, se estremecía en todo su ser"
"Quella nonn-era punto dormigliosa,",que uno no estaba dormido en absoluto;,que uno estaba completamente despierto.
"In ben guardar il Fior molto pensava,","Cuidó mucho de la Flor,",Se ha prestado mucha atención a la conservación de la Flor.
"Vie più che•ll’altre guardi’ era curiosa,","Y era más curiosa que los otros guardias,",Y era más inquisitiva que los otros guardias.
Perciò che ben in lor non si fidava.,Desde que no confiaba en ellos.,Desde que no confiaba en ellos.
"Intorno dal castello andai ciercando,",Todo alrededor del castillo fui a buscar,Alrededor del castillo busqué algo.
"Sed i’ potesse trovar quel’entrata,",Si pudiera encontrar esa entrada...,Si pudiera encontrar esa puerta de entrada.
"La qual Folle-Largheza avea fondata,",que Forte-Largheza fundó,La cual Potenza-Vastidad había fundado.
"Per avacciar ciò, che giva pensando.",Para acelerar lo que estaba pensando.,Acelerar lo que estaba pensando.
"Allor guardai, e sì vidi onbreando",Entonces miré y vi las sombras.,Entonces escudriñé y pasé por la oscuridad.
"Di sotto un pin una donna pregiata,","bajo un pino, una mujer digna,","junto a un abeto, una mujer digna."
"Sì nobil mente vestita e parata,",tan noblemente vestida y adornada,Tan magníficamente atraída y decorada.
Che tutto ’l mondo gìa di lei parlando.,que todo el mundo hablaba de ella.,que toda la tierra discutía.
"E sì avea in sé tanta beleza,",y tenía en sí misma tanta belleza,y tenía una gran magnificencia
Che tutto intorno lei aluminava,que ha iluminado todo a su alrededor,que arriesgó todo a su alrededor
"Chol su’ visagio, tanto avea chiareza.","con su rostro, tenía tanta claridad;","Con su cara, tenía mucha luminosidad."
Ed un suo amico co•llei si posava.,Y un amigo suyo que estaba con ella.,y un compañero suyo que estaba con ella
"La donna si avea nome Richeza,",La mujer se llamaba Richeza.,La señora tenía el nombre de Richeza.
Ma•llui non so com’altri l’apellava.,Pero no sé cómo más se llamaba.,"Sin embargo, él no sabía cómo más se llamaba."
"Col capo inchino la donna salutai,","Saludé a la mujer con la cabeza baja,",Saludé a la señora con el jefe chino.
E sì•lla cominciai   a domandare,Y a ella empecé a preguntar.,Empecé a interrogarle.
"Del camin, c’uomo apella Tropo-Dare.",del sendero que se llama Tropo-Dare.,de la ruta que se llama Tropo-Dare.
Quella rispose: «Già per me no ’l sai,Y ella respondió: No lo sabrás de mí.,Ella respondió: No lo aprenderás de mí.
"E, se ’l sapessi, già non vi ’nterrai,","Y si lo supiera, nunca entrarías.","Y si lo conocieras, nunca cruzarías el umbral."
Chéd i’ difendo a ciaschedun l’entrare,"Porque prohíbo la entrada a todos,",Porque prohibo el acceso a todo el mundo.
Sed e’ nonn-à che spender e che dare.,Pero es necesario gastar y dar.,Hay que desbordear y extender.
"Sì farai   gran saver, se•tte ne vai:","Así que si eres inteligente, te vas.","Por lo tanto, si eres sagaz, vete."
"C’unquanche non volesti mi’ acontanza,",Si alguna vez no quieres mi compañía,Si alguna vez no deseas mi presencia.
Né mi pregiasti mai  a la tua vita.,Nunca me has alabado en tu vida.,Nunca me has elogiado en tu existencia.
"Ma or ne prenderò buona vengianza,",Pero ahora tomaré mi dulce venganza:,Ahora voy a imponerme mi dulce revancha.
"Ché, sie ciertano, se•ttu m’ài   schernita,","para que estéis seguros de que me has despreciado,","No lo devolveré para que estés seguro si me has despreciado, yo no lo pagaré."
"I’ ti darò tormento e malenanza,","Te atormentaré e infelicidad,",Te daré aflicción y tristeza
Sì ch’e’ me’ ti varia avermi servita».,que sería mejor para ti que me hubieras servido.,que sería más beneficioso para usted que haberme ayudado
"«Per Dio, gientil madonna, e per merzede»,","Por Dios, amable señora, y por misericordia,","Por el Señor, señora grosera, y por compasión."
"Le dissi allor, «s’i’ ò ver’ voi fallato,","Le dije que si te lastimé,","Siento haberle dicho más tarde, si te he ofendido, lo siento."
Ched e’ vi piaccia ched e’ sia amendato,"Lo que te gusta, que sea correcto.","Lo que te guste, que sea justo."
"Per me, chéd i’ ’l farò a buona fede:","Para mí, porque lo haré de buena fe.","Por mí, porque lo haré con sinceridad."
"Ch’i’ son ciertan, che ’l vostro cuor non crede",Porque estoy seguro de que su corazón no cree,Porque estoy seguro de que su corazón no acepta
"Com’io dentro dal mio ne son crucciato,",como dentro del mío estoy afligido;,"Como dentro de mi ser, me siento angustiado."
"Ma quando vo’ m’avrete ben provato,",Pero cuando me pongas a prueba,¿Cuándo me harás la prueba?
"E’ sarà cierto di ciò, c’or non vede.","Y estará seguro de eso, que ahora no ve",Estará absolutamente seguro de lo que no es visible en este momento.
"Per ch’i’ vi priego, che mi diate il passo,","Por eso, por favor, déjame pasar.",Te suplico que me dejes ir.
Ched i’ potesse abatter il castello,Para que pueda derribar el castillo.,Así puedo derribar la mansión.
