Filename,Original,Translate,Translate_GPT_1
fiore_49.csv,"Al buono Amico, che non fu di Puglia,","al buon amico, che non era della Puglia.","All'amico caro, che non proveniva dalla Puglia."
fiore_49.csv,"Che m’ebe molto tosto confortato,",Che mi ebbe molto velocemente confortato,Che mi offrì un rapido conforto
fiore_49.csv,E disse: «Guarda che ’n sie acietato,"Disse: ""guarda non si è accettato","""Esclamò: ""Vedi, non è stato accolto""."
fiore_49.csv,"Il consiglio Ragion, ma di te il buglia,","Ragione consiglia, ma da te lontano,","Saggia è la prudenza, ma da te assente."
fiore_49.csv,Ché ’ fin’ amanti tuttor gli tribuglia,perché la ragione disturba gli amanti,perché la logica perturba gli innamorati
fiore_49.csv,"Con quel sermon, di che•tt’à sermonato.",con quel sermone che ti ha predicato.,Con quel discorso che ti ha pronunciato.
fiore_49.csv,"Ma ferma in ben amar tutta tua ’ntenza,","Ma mettete tutto il desiderio nell'amore,"," come un albero fioritoMettete tutto l'entusiasmo nell'amore, come un albero in fiore."
fiore_49.csv,"E guarda al Die d’Amor su’ ’managio,","e guarda la promessa al Dio dell'Amore,",esamina l'impegno verso il Signore dell'Affetto.
fiore_49.csv,Ché tutto vincie lungia soferenza.,che tutto vince una lunga sofferenza,che tutto trionfa dopo una lunga penitenza
fiore_49.csv,"Or metti a me intendere il coragio,",Ora metti a me intendere il coraggio,Ora dimostrami il valore
fiore_49.csv,Chéd i’ ti dirò tutta la sentenza,perché io ti dirò tutta la storia,poiché io ti rivelerò l'intera narrazione
fiore_49.csv,"Di ciò, che dé far fin Amante sagio.",di ciò che un amante raffinato saggio deve fare.,di ciò che un amante perspicace sagace deve fare.
fiore_50.csv,A Mala-Bocca vo’ primieramente,Prima di tutto a Malabocia," non piacevaIn primo luogo, a Malabocia non era gradito."
fiore_50.csv,"Che•ttu sì no•gli mostri mal senbiante,","che se tu gli mostri mali sembianze,"," lui ti contraccambieràse tu gli mostri cattive espressioni, lui ti ricambierà"
fiore_50.csv,"Ma se gli passe o dimore davante,","ma se gli passa o ti fermi davanti a lui,",tuttavia se gli sfreccia o ti arresti dinanzi a lui.
fiore_50.csv,Umile gli ti mostra ed ubidente:,mostrati umile e obbediente.,manifesta umiltà e rispettosa obbedienza.
fiore_50.csv,"Di te e del tuo gli sie largo offerente,","Offritegli la vostra persona e i vostri beni,",Fornitegli la vostra presenza e le vostre ricchezze.
fiore_50.csv,E’ faccia di te come di su’ fante.,e faccia di te come di un suo servo,e tratti te come un suo domestico
fiore_50.csv,"Così vo’ che lo ’nghanni quel truante,",così voi quel masclazone dove ingannare,così voi quell'impostore dove imbrogliare
fiore_50.csv,Che si diletta in dir mal d’ognie giente.,che si diverte a parlare male di tutti.,che si diletta a mormorare male di tutti.
fiore_50.csv,Chol braccio al collo sì die hon menare,Con il braccio al collo e con parole piacevoli,Con il braccio intorno al collo e con discorsi gradevoli.
fiore_50.csv,"Il su’ nemico, insin che sia ’l giubetto,","devi condurre il tuo nemico alla forca,",devi guidare il tuo antagonista alla ghigliottina.
fiore_50.csv,"Co•le lusinghe, e po’ farlo inpiccare.","con le sue lusinghe, e poi farlo impiccare.","Con le sue adulazioni, e poi impiccarlo."
fiore_50.csv,"Or metti ben il cuor a•cciò, c’ò detto,",Ora metti bene il cuore a ciò che ho detto:,Adesso prendi a cuore quanto ho detto.
fiore_50.csv,"Di costu’ ti convien così ovrare,",con questo devi comportarti così,con questo devi agire in tal modo
fiore_50.csv,Insin ch’e’ sia condotto al passo stretto.,fino a quando non sia stato condotto a quel passaggio stretto.,fino a che non si arrivi al tratto angusto.
fiore_51.csv,Inpresso vo’ che•ttu agie astinenza,Dopo questo voglio che tu si astenga,Dopo questo voglio che tu ti astieni
fiore_51.csv,"Di non andar sovente dal chastello,",di non andare ripetutamente al castello,evitare frequentemente di recarsi al castello
fiore_51.csv,Né non mostrar che•tti sia guari bello,e non mostrare che ti piace,e nascondere che ti piace
fiore_51.csv,A riguardar là ov’è Bellacoglienza:,per guardare la dov'è Bellaccoglienza,Per osservare la ubicazione di Bellaccoglienza
fiore_51.csv,Ch’e’•tti convien aver gran provedenza,che tutto convengono aver grande provvidenza,che tutti convengono aver grande solerzia
fiore_51.csv,"Insin che Malabocha   t’è ribello,","finche' la Malabocia a te si ribella,",finché la Malignità a te si oppone
fiore_51.csv,"Ché•ttu sa’ ben ch’egli è un mal tranello,",che tutti sanno che egli è un brutto tranello,che tutti sono a conoscenza che egli è una cattiva imboscata
fiore_51.csv,"Che giorno e nott’e’ grida, e nogia, tenza.",che urla e grida e discute giorno e notte.,"che strepita, vocifera e contende giorno e notte."
fiore_51.csv,De l’altre guardie non bisognia tanto,delle altre guardie non biogna tanto, preoccuparsinon c'è bisogno di preoccuparsi troppo delle altre guardie
fiore_51.csv,Guardar com’e’ ti fa di Mala-Bocha,guardare come fai con Malabocia,accertare come esegui con Malabocia
fiore_51.csv,Ch’elle starian volontier da l’un canto;,che essi stanno volentieri da una parte,che essi stanno lietamente da una parte
fiore_51.csv,Ma quel normando incontanente scocha,ma quel Normanno subito si scagliò,ma quel Normanno prontamente si scagliò
fiore_51.csv,"Ciò ched e’ sa, ed in piaza ed a santo,","ciò che sa, sia ed in piazza e nelle chiese;","Ciò che conosce, sia in piazza e nelle basiliche."
fiore_51.csv,"E con’ truova da sé, e’ mette in cocha.",e trova da solo e si mette in coda,cerca da solo e si mette in fila
fiore_52.csv,"La Vechia, che Bellacoglienz’à ’n guarda,","La Vecchia, che Bellaccoglienza guarda","La Vecchia, che scruta con Cortesia."
fiore_52.csv,Servi ed onora a tutto tu’ podere,Servi e onora con tutta la tua forza,Rendi omaggio e venera con tutta la tua energia.
fiore_52.csv,"Ché, s’ella vuol, troppo ti può valere:","perchè, se essa vuole, può essere molto utile,","poiché, se desidera, può rivelarsi estremamente benefico."
fiore_52.csv,"Chéd ella nonn-è folle, né musarda.",perché ella non è né sciocca né sciocca.,Perché lei non è né stupida né insensata.
fiore_52.csv,"A Gielosia, che mal fuoco l’arda,",Con Gelosia - che un fuoco la bruci! -,Con Invidia - che un incendio la divori!
fiore_52.csv,"Fa ’l somigliante, s’ella può vedere.","Fai lo stesso, se riesci a vederla.","Fai lo stesso, se riesci a percepirla."
fiore_52.csv,"Largo prometti a tutte de l’avere,","Prometti a tutti loro generosa ricompensa,",Assicura a ciascuno di loro una gratifica abbondante.
fiore_52.csv,"Ma ’l pagamento, il più che puo’,   lo tarda.",ma ritardare il pagamento il più possibile.,deferire il pagamento quanto più è fattibile.
fiore_52.csv,"E, se•llor doni, dona gioeletti,","E se fai regali, dai gioielli,","Se fai doni, regala gioielli."
fiore_52.csv,"Be’ covricieri, e reti, e ’ntecciatoi,",bellissimi cappelli e cappellini e nastri di seta,splendidi copricapi e berretti e fasce di seta
fiore_52.csv,"E belle ghirlanduze, e ispiletti,","e bellissime ghirlande e spille,",splendide ghirlande e fermagli
fiore_52.csv,"E pettini d’avorio, e rizatoi,","e pettini e barrette d'avorio,","e pettini e barrette d'avorio,"
fiore_52.csv,"Coltelli, e paternostri, e tessutetti:","coltelli, rosari e panni;","Lama, rosari e strofinacci"
fiore_52.csv,Ché questi non son doni strugitoi.,che questi sono regali poco costosi.,che questi sono doni a basso prezzo.
fiore_53.csv,"Se non ài che donar   fa gran promessa,","Se non avete nulla da dare, fate grandi promesse,","Se non avete niente da offrire, fate grandi assicurazioni."
fiore_53.csv,"Sì com’i’ t’ò contato qui davanti,","Si com'è proprio qui davanti,","Esattamente qui, innanzi."
fiore_53.csv,"Giurando loro Idio e tutti i santi,",giurando a loro il Dio e di tutti i Santi,promettendo loro solennemente in nome di Dio e dei Santi
fiore_53.csv,"Ed anche il sacramento della messa,","e anche sul sacramento della messa,",e anche sull'istituzione della Eucaristia
fiore_53.csv,"Che ciascuna farai gran baronessa,","che farete di ciascuno una grande baronessa,",che farete di ciascuno una grande nobildonna
fiore_53.csv,Tanto darai lor fiorini e bisanti.,"Tanto darai loro fiorini e bisanti,",Tanto conferirai loro monetine e monete d'oro.
fiore_53.csv,"Di piangier vo’ che faccie gran senbianti,",Voglio che tu faccia finta di piangere.,Voglio che fingi di lacrimare.
fiore_53.csv,Diciendo che non puo’ viver sanz’essa.,Dicendo che non puoi vivere senza di lei.,Affermando che non puoi esistere senza di lei.
fiore_53.csv,"E, se•ttu non potessi lagrimare,","E se non sarai in grado di versare lacrime,"," almeno abbi il coraggio di sorridereE se non sarai in grado di piangere, almeno abbi la forza di sogghignare."
fiore_53.csv,"Fa che•ttu agie sugo di cipolle,",Assicurati di avere un po 'di succo di cipolla,Accertati di procurarti un po' di succo d'aglio.
fiore_53.csv,"O di scalogni: e’ faranolti fare,","o scalogni, e questo vi farà piangere;","o sventure, e questo vi farà lacrimare."
fiore_53.csv,"O di scialiva gli ochi tu•tte molle,","o inumidire gli occhi con la saliva,",bagnare gli occhi con la saliva.
fiore_53.csv,S’ad altro tu non puo’ ricoverare.,se non riesci a trovare nient'altro.,Se non riesci a individuare altra soluzione.
fiore_53.csv,E così vo’ che ciascheduna bolle.,E in questo modo voglio che ciascuno inganni, l'altroIn questa maniera desidero che ognuno imbrogli l'altro.
fiore_54.csv,"Se•ttu non puo’ parlar a quella, ch’ami,","Se non puoi parlare con quella che ami,"," ascoltaSe non puoi discutere con chi ami, presta orecchio."
fiore_54.csv,"Sì•lle manda per lettera tu’ stato,","poi mandale il tuo stato per lettera,",poi invia la tua situazione per posta.
fiore_54.csv,Diciendo com’Amor t’à•ssì leghato,dicendo come l'Amore ti ha così legato,Esprimendo come l'affetto ti ha così vincolato
fiore_54.csv,"Ver’ lei,   che ma’ d’amarla non ti sfami.",a lei che che mai d'amore non ti sfami,A lei che mai d'affetto non ti sazia
fiore_54.csv,"E le dirai: “Per Giesocristo, tra’mi","E le dirai: Per Gesù Cristo, liberami","E le dirai: Per l'amor di Dio, salva me!"
fiore_54.csv,"D’esti pensier, che m’ànno sì gravato”.",da questi pensieri che mi hanno oppresso!,da queste considerazioni che mi hanno oppresso!
fiore_54.csv,Ma guarda che•llo scritto sia mandato,Ma guarda che quello scritto sia consegnata.,Assicurati che ciò che è stato scritto sia consegnato.
fiore_54.csv,"Per tal messagio, che non vi difami.",da un messaggio che non vi diffami.,da una comunicazione che non vi calumni.
fiore_54.csv,"Ma nella lettera non metter nome,",Ma nella lettera non mettere il nome,"In questa missiva, ometterai il cognome"
fiore_54.csv,Di lei   dirai “colui” di te “colei”:,"Di lei dirai colui, di te colei","Di lei dirai lui, di te lei"
fiore_54.csv,Così convien canbiar le pere a pome.,Così le pere vengono trasformate in mele.,In tal modo le pere vengono convertite in mele.
fiore_54.csv,Messagio di gharzon’ ma’ non farei,"Non userei mai un garzone come messaggero,"," preferisco un uomo di fiduciaNon impiegherei mai un garzone come messaggero, preferisco una persona di cui mi fidi."
fiore_54.csv,"Chéd e’ v’à gran periglio, ed odi come:","perché c'è un grande pericolo, ed ecco perché:","In quanto esiste una grave minaccia, dunque ecco il motivo."
fiore_54.csv,"Nonn-à fermeza in lor, perciò son rei.","non c'è costanza in loro; quindi, non sono buoni.","Non c'è fedeltà in loro; quindi, non sono affidabili."
fiore_55.csv,"E se•lla donna prende tu’ presente,",E se la Signora prende te presente,E se la Signora prende te attualmente
fiore_55.csv,Buon incomincio avra’ di far mercato.,hai un buon inizio per i tuoi affari;,hai un buono spunto per la tua impresa.
fiore_55.csv,"Ma•sse d’un bascio l’avessi inarrato,",ma se un bacio l'avessi promesso,ma se un bacio avessi promisso
fiore_55.csv,Saresti poi ciertan del rimanente.,saresti sicuro del rimanente,saresti certo del restante
fiore_55.csv,"E s’ella a prender non è conosciente,","E se non ha la cortesia di accettare,"," allora non possiamo andare avantiSe non ha la gentilezza di accettare, allora non possiamo procedere."
fiore_55.csv,"Anzi t’avrà del tutto rifusato,",anzi ti avrà del tutto rifiutato,invece di te avrà rigettato assolutamente
fiore_55.csv,"Senbianti fa che sie forte crucciato,","fingere di essere molto sconvolto,",simulare grande turbamento.
fiore_55.csv,E partiti da•llei san’ dir niente.,e lascia lei senza dire niente.,e lei rimase in silenzio.
fiore_55.csv,"E poi dimora un tenpo san’ parlarne,","E poi non parlarle per un po',",Evita di rivolgerle parole per un tempo.
fiore_55.csv,"E non andar in luogo, ov’ella sia,","e non andare in un luogo dove ella sia presente,",evita di localizzare in un posto dove lei sia presente.
fiore_55.csv,E fa senbiante che nonn-ài che farne.,e fingere di non sapere come si può gestire.,fingere di non essere consapevoli di come affrontare.
fiore_55.csv,Ell’enterrà in sì gran malinconia,Ed ella entrerà in una grande malinconia,Ella si imbatterà in una profonda tristezza
fiore_55.csv,Che no•lle dimorrà sopr’osso carne:,che non avrà più carne sulle sue ossa;,che non avrà più muscoli sulla sua struttura.
fiore_55.csv,Sì•ssi ripentirà di sua follia.,e così si pentirà della sua follia.,e così si rammaricherà della sua imprudenza.
fiore_56.csv,"Il marinaio, che tuttor navicando",Il marinaio che continua a navigare,Il marinaio che persevera nella navigazione
fiore_56.csv,"Va per lo mar, ciercando terra istrana,",va per il mare cercando una terra strana,va per l'oceano cercando una terra sconosciuta
fiore_56.csv,"Con tutto si guid’e’ per tramontana,",Con tutto si guida e per tramontana,Con tutto si comanda e per grecale
fiore_56.csv,Sì va e’ ben le sue vele canbiando,si va bene cambiando le sue vele,si va bene modificando le sue vele
fiore_56.csv,"E per fugire   da terra c’apressando,",e per fuggire dalla terra affrettandosi,e per sfuggire dalla terra spedendosi
fiore_56.csv,"In quella guisa, c’allor gli è più sana.",facendo ciò che è meglio:,eseguendo ciò che è opportuno
fiore_56.csv,Così governa mese e settimana,"cosi governa per mesi e settimane,",In tal modo governa per lunghi periodi di tempo.
fiore_56.csv,Insin che ’l mar si va rabonacciando.,finché il mare non sarà calmo.,finché le acque non si saranno placate.
fiore_56.csv,"Così dé far chi d’Amor vuol gioire,",Cosi da fare chi d'Amore vuole gioire,"In tal modo, chi desidera esultare nell'Amore può farlo."
fiore_56.csv,Quand’e’ truova la sua donna diversa:,quando trova la sua donna diversa,quando incontra la sua partner diversificata
fiore_56.csv,"Un’or la dé cacciar, altra fugire.","ora la deve cacciare, ora fuggire.","ora deve scappare, ora fuggire."
fiore_56.csv,"Allor sì•lla vedrà palida, e persa,",Allora si vedrà pallida e persa,Allora si presenterà dimessa e smarrita.
fiore_56.csv,Ché sie ciertan che le parrà morire,che sia certo che le sembrerà di morire,che sia assolutamente certo che le apparirà come se stesse per morire
fiore_56.csv,Insin che no•lli cade sotto inversa.,finchè ella non cade sotto di lui,finchè ella non cade ai suoi piedi
fiore_57.csv,"Quando fai ad alcuna tua richesta,",quando fai alcuna tua richiesta,Quando fai una tua istanza
fiore_57.csv,"O vechia ch’ella sia, o giovanzella,",che sia vecchia o giovane,che sia anziana o giovane
fiore_57.csv,"O maritata,   o vedova, o pulzella,","o sposata o vedova o vergine,",o coniugata o vedova o nubile.
fiore_57.csv,Sì convien che•lla lingua tua sia presta,si conviene che la tua lingua sia pronta,Si suppone che la tua parlata sia pronta.
fiore_57.csv,"A•lle’ lodar suo’ ochi, e bocca, e testa,","per lodare i suoi occhi, la bocca la testa,"," le spallePer esaltare la sua vista, le labbra, il capo e le spalle."
fiore_57.csv,E dir che sotto ’l ciel non l’à più bella:,e dire che sotto il cielo non sarà la piu bella,E dire che sotto il firmamento non sarà la più incantevole.
fiore_57.csv,“Piaciesse a Dio ch’i’ v’avesse in gonella,Fosse piaciuto a Dio che io vi avessi in gola,Fosse stato aggradito a Dio che io vi avessi dentro la gola.
fiore_57.csv,Là ov’io diviserei in mia podesta!”.,Lì dove avrei potere su di voi!,In quel luogo dove avrei autorità su di voi!
fiore_57.csv,"Così le déi del tutto andar lodando,",cosi gli dei del tutto dovete lodarli,in questo modo dovete esaltare gli dèi onnipotenti
fiore_57.csv,Chéd e’ nonn-è nesuna sì atenpata,perchè nessuna è cosi vecchia,perchè nessuna è cosi anziana
fiore_57.csv,"Ch’ella   non si diletti in ascoltando,",che ella non di diverta in ascolto,che ella non s'intrattenga ad ascoltare
fiore_57.csv,"E credes’esser più bella   che fata,",e credesse di esser piu bella di una fata,e pensasse di essere più incantevole di una fata.
fiore_57.csv,E ’nmantenente pensa a gir pelando,e costantemente pernsa di scuoiare,e freneticamente desidera di imparare
fiore_57.csv,"Colui, che prima tanto l’à lodata.",colui che prima l'ha lodata,Colui che l'ha prima elogiata
fiore_58.csv,"Le giovane, e le vechie, e le mezane","Le giovani, le vecchie, e di mezza età -"," Giovinastri, anziani e di mezza età."
fiore_58.csv,"Son tutte quante a prender sì ’ncarnate,",sono tutte quante disposte a prendere, parteSono tutte pronte a partecipare
fiore_58.csv,Che nessun puote aver di lor derate,che nessuno può avere la propria merce,che nessuno può rivendicare la propria proprietà
fiore_58.csv,"Per cortesia, tanto son villane,","per cortesia, tanto sono villane,","Per gentilezza, tanto sono scortesi."
fiore_58.csv,"Ché quelle, che si mostran più humane,",che quelle che si dimostrano piu umane,che quelle che si dimostrano più compassionevoli
fiore_58.csv,"E non prendenti, dànno le ghigniate.",e non prenderti in giro,e non auto-schernirti
fiore_58.csv,"Natur’è quella che•lle v’à fatate,",La natura è quella che vi ha insegnato,L'ambiente è quello che vi ha istruito
fiore_58.csv,Sì com’ell’à ’fetato a chaccia il cane.,Proprio come ha insegnato al cane a cacciare.,Insegnò al cane come catturare prede.
fiore_58.csv,"Ver è c’alcuna si mette a donare,","È vero che alcuni sono disposti a dare,"," ma altri non lo sonoÈ vero che alcuni sono propensi a offrire, ma altri non lo sono."
fiore_58.csv,"Ma ella s’è ben prima proveduta,",ma solo se prima si sono assicurati,ma solo se prima si sono garantiti
fiore_58.csv,Ch’ella ’l darà in luogo d’adoppiare.,che ciò che daranno tornerà duplice.,che ciò che offriranno sarà ricompensato con una somma doppia.
fiore_58.csv,"I•llor gioelli non son di gran valuta,","I loro gioielli non sono di grande valore,",I loro gioielli non sono di grande pregio.
fiore_58.csv,Ma e’ son esca per uccie’ pigliare.,ma questa è l'esca per prendere gli uccelli.,ma questa è l'esca per intrappolare gli uccelli.
fiore_58.csv,Guardisi ben chi à corta veduta!,Stia attento chi ha vista corta!,Attenzione a chi ha una visione limitata!
fiore_59.csv,"Se quella, chu’ richiedi, ti rifiuta","Se quella che desideri ti rifiuta,"," non disperareSe quella che vuoi ti respinge, non scoraggiarti."
fiore_59.csv,"Tu sì non perdi nulla in su’ scondetto,","non perdi nulla a causa del suo rifiuto,",non c'è nulla da temere dal suo diniego.
fiore_59.csv,"Se non se solo il motto, che•ll’ài detto.",se non solo le parole che le hai detto:,"Al posto delle parole che hai detto, se non solo..."
fiore_59.csv,Dello scondir sarà tosto pentuta.,lei si pentirà presto del suo rifiuto.,lei si rammaricherà rapidamente del suo diniego.
fiore_59.csv,"Una nel ciento non fu mai veduta,",Una donna su cento non è mai stata vista,Circa una persona su cento non ha mai ricevuto attenzione.
fiore_59.csv,"Ed ancor più che ’l miglia’ ci ti metto,","o meglio, scommetto una su mille",azzardo una su mille
fiore_59.csv,"Femina, chu’ piaciesse tal disdetto.",Femmina che ti piacesse un tale rifiuto,Una donna che non gradisse un tale rifiuto.
fiore_59.csv,"Come ch’ella t’asalgha di venuta,",Anche se potrebbe attaccarti all'inizio.,Anche se potrebbe ostacolarti inizialmente.
fiore_59.csv,"Richié’, c’almen n’avrà’ su’ ben volere,","Richié, almeno ci avrà il suo benevolo consenso","Richié, almeno ci avrà la sua benevola approvazione."
fiore_59.csv,"Con tutto ti vad’ella follegiando,","Anche se potrebbe dire cose assurde su di te,"," non rispondergliAnche se potrebbe pronunciare affermazioni inverosimili su di te, non replicare."
fiore_59.csv,Ché•ttu no•le puo’ far magior piaciere.,perché non puoi farle un favore più grande.,Perché non puoi farle un'offerta più generosa.
fiore_59.csv,"Ma di ciò non dé gir nessun parlando,","Ma nessuno deve dire niente al riguardo,",Nessuno dovrebbe pronunciare alcunché a questo proposito.
fiore_59.csv,"S’e’ ’n averla non mette su’ podere,","se fallisce nella sua ricerca di averla,",se non riesce a ottenerla nella sua ricerca.
fiore_59.csv,Chéd ella se ne va dapoi vantando.,perchè dopo andrà in giro vantando,perchè poi girerà gonfiando d'orgoglio
fiore_60.csv,"E quando tu•ssarai co•llei soletto,","E quando sarai tutta sola con lei,"," ricordati di essere gentileE quando sarai solitario con lei, rammentati di essere cortese"
fiore_60.csv,"Prendila tra•lle braccia, e fa ’l sicuro,","Prendila tra le tue braccia e fallo con coraggio,",Abbracciala con ardore e procedi senza esitazione.
fiore_60.csv,"Mostrando allor se•ttu•ssè forte e duro,","Mostrando allora che sei forte e duro,"," avrai la tua ricompensaDimostrando allora che sei vigoroso e incrollabile, avrai il tuo guadagno."
fiore_60.csv,E mantenente le metti il ganbetto.,e immediatamente le dai il gancio,e subito le mostri il gancio
fiore_60.csv,Né no•lla respittar già per su’ detto:,Non darle tregua per quello che dice:,Non risparmiarla per ciò che afferma.
fiore_60.csv,"S’ella chiede   merzé, chegala al muro.","se chiede misericordia, chieda invano.","se implora clemenza, invochi inutilmente."
fiore_60.csv,"Tu•lle dirai: “Madonna, i’ m’assicuro","Tu le dirai: ""Madonna, io mi assicuro""","Tu le dirai: ""Grazie al cielo, io mi garantisco"""
fiore_60.csv,"A questo far, c’Amor m’à•ssì distretto","per fare questo, che l'amor mi ha cosi preso","per fare questo, che l'affetto mi ha così stregato"
fiore_60.csv,"Di vo’, ched i’ non posso aver sogiorno.","con te, perché io non possa avere pace;","con te, affinché io non possa conoscere serenità;"
fiore_60.csv,Per ch’e’ convien che vo’ agiate merzede,perchè convieni che voi agiate misericordia,?Perché ritenete opportuno che voi mostriate clemenza?
fiore_60.csv,"Di me, che tanto vi son ito intorno.",di me che tanto vi sono stato intorno,di me che tanto vi sono stato vicino
fiore_60.csv,"Ché•ssiate cierta ched i’ v’amo a fede,",che siate certa che vi amo fedelmente,Che siate assolutamente sicuri che io vi amo devotamente.
fiore_60.csv,"Né d’amar voi giamai non mi ritorno,","e che non smetterò mai di amarti,",e che non cesserò mai di provare affetto per te.
fiore_60.csv,Ché per voi il me’ cor salvar si crede”.,che per voi il mio cuore si salverà,che per voi il mio affetto si preserverà
fiore_61.csv,"E se•ttu ami donna ferma e sagia,","E se amate una donna costante e saggia,"," siate così anche voiSe apprezzate una donna fedele e saggia, cercate di imitarla."
fiore_61.csv,"Ben sagia   mente e fermo ti contieni,",Comportati con saggezza e con costanza;,Agisci con prudenza e perseveranza.
fiore_61.csv,"C’avanti ch’ella dica: “Amico, tieni","per prima che lei dica: Amico, tieni","!Prima che lei esclami: Amico, prendi!"
fiore_61.csv,"Delle mie gioie”, più volte t’asagia.","dalle mie gioie, più volte ti ho messo"," in guardiadalle mie felicità, più volte ti ho ammonito"
fiore_61.csv,"E se•ttu ami femina volaggia,","E se ami una donna volubile,"," non aspettarti che diventi stabileE se ami una donna variabile, non aspettarti che diventi costante."
fiore_61.csv,"Volagia   mente davanti le vieni,","venire prima di lei in modo volubile,",precederla con prontezza.
fiore_61.csv,"E tutt’a la sua guisa ti mantieni,",e ti mantieni in tuaa la tua maniera,e ti comporti come preferisci
fiore_61.csv,"Od ella ti terrà bestia salvaggia,",o ella ti considera una bestia selvaggia,o lei ti considera un animale selvatico
fiore_61.csv,"E crederà che•ttu sie un papalardo,",e creder che tu non sia un ipocrita,e confidare che tu non sia un fingitore
fiore_61.csv,Che sie venuto a•llei per inganarla.,che sei venuto da lei per ingannarla,che sei venuto da lei per turlupinarla
fiore_61.csv,"Chéd ella il vol pur giovane e galliardo,",perchè lei vuole qualcuno che è giovane e robusto.,perchè lei vuole qualcuno che è giovanile e vigoroso.
fiore_61.csv,"La buona e•ssagia,   ma di ciò non parla",Una donna buona e saggia non parla mai di questo;,Una dama benevola ed esperta non menziona mai questo.
fiore_61.csv,"Anz’ama più l’uon fermo che codardo,","anzi, ama un uomo determinato più di un codardo,","anzi, ama un uomo deciso più di un vigliacco."
fiore_61.csv,Ché non dotta che que’ faccia blasmarla.,perchè non sà quello che le farà biasimare,?perchè non conosce ciò che le procurerà rimprovero?
fiore_62.csv,"Ancor convien che•ttu saccia ’lcun’arte,",Ancora meglio che conoscete alcune regole,Conoscere qualche principio è ancora meglio
fiore_62.csv,Per ghovernar e te e la tu’ amica:,per governare te e la tua amica:,presiedere su te e la tua amica
fiore_62.csv,"Di buon’ morselli tuttor la mi notrica,","nutritela tuttora di bocconi teneri,"," di parole d'amorenutrila ancora con bocconcini gentili, di parole d'affetto"
fiore_62.csv,E dàlle tuttavia la miglior parte.,e darle sempre la parte migliore.,e concederle sempre la parte più pregiata.
fiore_62.csv,"E s’ella vuol andar i•nulla parte,","E se vuole andare da qualche parte,"," deve prendere un autobusSe desidera recarsi da qualche luogo, dovrà servirsi di un pullman."
fiore_62.csv,"Sì•lle dì: “Va, che Dio ti benedica!”.","dille: Andate, e che Dio vi benedica.","Ditele: Partite, e che Dio vi conceda la Sua benedizione."
fiore_62.csv,In gastigarla non durar fatica,"Non sprecare il tuo tempo nel rimproverarla,",Non investire il tuo prezioso tempo nel rimproverarla.
fiore_62.csv,Se dal su’ amor non vuo’ tagliar le carte.,A meno che tu non voglia porre fine alla relazione.,A meno che tu non abbia intenzione di interrompere la connessione.
fiore_62.csv,"E se•lla truovi l’opera facciendo,",E se scoprirai che fa l'amore...,E se si scopre che fa l'amore...
fiore_62.csv,Non far senbiante d’averla veduta:,"non lasciare che l'hai vista,",Non permettere che ti sfugga d'occhio.
fiore_62.csv,In altra parte   te ne va fugiendo;,e in un altra parte te ne vai fuggendo,e in un'altra parte te ne stai allontanando
fiore_62.csv,"E se•lle fosse lettera venuta,",e se la lettera fosse arrivata, in ritardoe se la lettera fosse pervenuta tardivamente
fiore_62.csv,Non t’intrametter d’andar inchegiendo,Non si preoccupa di andare a chiederglielo,Non si cura di domandarglielo.
fiore_62.csv,"Chi•ll’à recata, né chi la saluta.","che si è recata, nè di chi saluta","che ha visitato, né di chi salutare"
fiore_63.csv,"S’a scachi, o vero a•ttavole, giocassi",se giocassi a scacchi o vero a tavola,se giocassi a scacchi o una partita di dama
fiore_63.csv,"Co•lla tua donna, fa c’agie il pigiore","con la tua signora, assicurati che"," sia contentacon la tua consorte, assicurati che sia felice"
fiore_63.csv,"Del gioco, e dille ch’ell’è la migliore",e dille che è lei la migliore del gioco,e dille che è lei la più eccellente del gioco
fiore_63.csv,"Dadi-gittante, che•ttu mai trovassi.",dati giganti che mai vidi,grandi masse di informazioni che mai avevo visto
fiore_63.csv,"S’a coderon giocaste, pignia anbassi,","E se dovesse giocare a coderon, lanci occh,","E se dovesse giocare a coderon, gettare dadi."
fiore_63.csv,E fa ched ella sia là vincitore.,e fai che sia lei il vincitore,e rendila la trionfatrice
fiore_63.csv,"Della tua perdita non far sentore,",Non far sentire della tua perdita,Non far sentire la tua assenza.
fiore_63.csv,Ma che cortesemente la ti passi.,ma che cortesemtne ti passa, per la testache gentile idea ti sta passando per la mente
fiore_63.csv,"Falla seder ad alti, e•ttu sie basso,","Falla sedere in un posto alto, e tu in basso,","Faccia accomodare in un luogo elevato, e tu in posizione più bassa."
fiore_63.csv,"E sì•ll’aporta carello, o cuscino:",e portale un carello e un cuscino;,e procurati un carrello e un cuscino.
fiore_63.csv,Di le’ servir non ti veghi mai lasso.,Non le ha mai permesso di vederti stanco di servirla.,Non le ha mai concesso di constatare la sua fatica nel servirla.
fiore_63.csv,"S’adosso le vedessi un buscolino,",Se dovessi vedere un puntino su di lei...,Se dovessi individuare una macchiolina su di lei...
fiore_63.csv,"Fa che glie•levi, e se vedessi sasso,","assicuratevi di spazzolarlo via, e se si dovrebbe vedere una pietra",",Assicuratevi di spazzolare via, e se dovessi scorgere un sassolino."
